Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Antirrhinum majus,Acompsia tripunctella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/G2TD",3172001
Arachis hypogaea,Anarsia ephippias  Meyrick; Aproaerema modicella  Deventer; Bilobata subsecivella  Zeller; Helcystogramma melantherella  Busck; Stegasta bosqueella  Chambers; Stegasta capitella  Fabricius; Stegasta variana  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/G2TD",5353770
Aralia spinosa,Dichomeris juncidella  Clemens,species,accepted,"https://www.catalogueoflife.org/data/taxon/65LHR",3036972
Arbutus,Gelechia panella  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62CRL",2882796
Arbutus menziesii,Gelechia panella  Busck; Pseudochelaria arbutina  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/G6Q7",2882802
Arceuthobium,Filatima natalis  Heinrich,genus,accepted,"https://www.catalogueoflife.org/data/taxon/ZVH",2889830
Arceuthobium oxycedri,Gelechia nr. epistolica  Meyrick; Gelechia paroxynta  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/G7JJ",2889841
Arctium,Metzneria lappella  Linnaeus,genus,accepted,"https://www.catalogueoflife.org/data/taxon/32BQ",8106066
Arctium lappa,Metzneria lappella  Linnaeus,species,accepted,"https://www.catalogueoflife.org/data/taxon/67S22",7353729
Arctium minus,Metzneria lappella  Linnaeus,species,accepted,"https://www.catalogueoflife.org/data/taxon/5W3Q6",5393103
Arctium tomentosum,Metzneria lappella  Linnaeus,species,accepted,"https://www.catalogueoflife.org/data/taxon/683PD",5393080
Arctostaphylos,Coleotechnites mackiei  Keifer; Gelechia panella  Busck; Pseudochelaria arbutina  Keifer; Pseudochelaria manzanitae  Keifer; Pseudochelaria scabrella  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62CT9",2882486
Arctostaphylos glauca,Coleotechnites mackiei  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/GBMK",2882607
Arctostaphylos patula,Gelechia panella  Busck; Pseudochelaria manzanitae  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/67RS8",2882612
Arenaria laricifolia,Caryocolum mucronatella  ChrÃ©tien,species,ambiguous synonym,"https://www.catalogueoflife.org/data/taxon/67RBH",
Argyrolobium,Syncopacma acanthyllidis  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CJZB",2963593
Argythamnia blodgettii,Anacampsis argyrothamniella  Busck,species,,"https://www.catalogueoflife.org/data/taxon/GKQ9",
Armeria,Aristotelia brizella  Treitschke,genus,accepted,"https://www.catalogueoflife.org/data/taxon/332R",3082288
Arrhenatherum,Helcystogramma rufescens  Haworth,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VV7N",2704504
Artemisia,Dichomeris serrativittella  Zeller; Isophrictis similiella  Chambers; Scrobipalpula artemisiella  Kearfott; Sophronia chilonella  Treitschke,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62CHR",3120641
Artemisia absinthium,Scrobipalpa halonella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/GVZC",3121319
