Host full name,Gelechiidae species name,Rank,COL status,COL taxon page,GBIF taxonKey
Lupinus versicolor,Chionodes braunella  Keifer; Syncopacma nigrella  Chambers,species,synonym,"https://www.catalogueoflife.org/data/taxon/9DB2G",
Lychnis,Pogochaetia solitaria  Staudinger,genus,,"https://www.catalogueoflife.org/data/taxon/644QW",
Lychnis viscaria,Caryocolum amaurella  Hering; Caryocolum viscariella  Stainton,species,,"https://www.catalogueoflife.org/data/taxon/3WJSV",
Lycium ferocissimum,Hedma microcasis  Meyrick; Scrobipalpa lyciella  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/3WKK3",3797394
Lycopersicon,Bryotropha plebeiella  Zeller; Gnorimoschema epithymella  Staudinger; Keiferia lycopersicella  Walsingham; Phthorimaea operculella  Zeller; Scrobipalpula absoluta  Meyrick; Symmetrischema tangolias  Gyen; Tildenia glochinella  Zeller,genus,,,
Lycopersicon esculentum,Keiferia lycopersicella  Walsingham; Phthorimaea operculella  Zeller; Scrobipalpa ergasima  Meyrick; Scrobipalpula absoluta  Meyrick; Symmetrischema tangolias  Gyen,species,accepted,"https://www.catalogueoflife.org/data/taxon/4Y369",2928997
Lycopersicon esculentum esculentum,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/4Y369",7138546
Lycopersicon hirsutum,Keiferia lycopersicella  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/4Y2MW",7541297
Lysimachia vulgaris,Monochroa conspersella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/72QRY",
Lythrum salicaria,Aristotelia subdecurtella  Stainton,species,accepted,"https://www.catalogueoflife.org/data/taxon/3WVHJ",3188736
Maackia amurensis,Anarsia bimaculata  Ponomarenko,species,accepted,"https://www.catalogueoflife.org/data/taxon/3WVTL",
Macadamia,Anarsia,genus,accepted,"https://www.catalogueoflife.org/data/taxon/62XTS",2891784
Macaranga,Dichomeris microdoxa  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VSBG",3073879
Macaranga tanarius,Dichomeris resignata  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6R2GN",
Machaeranthera canescens,Dichomeris levisella  Fyles; Dichomeris ochripalpella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/622CH",3095462
Mallotus,Aristotelia galeotis  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8V5PT",3062330
Mallotus philippensis,Dichomeris bisignella  Snellen; Hypatima phacelota  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3XQ22",
Malus,Anarsia lineatella  Zeller; Aristotelia pudibundella  Zeller; Dichomeris derasella  Denis & Schiff.; Dichomeris ligulella  Hubner; Filatima epulatrix  Hodges; Gelechia rhombella  Denis & Schiff.; Pseudotelphusa incana  Hodges; Psoricoptera gibbosella  Zeller; Recurvaria leucatella  Clerck; Recurvaria nanella  Denis & Schiff.,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5KQ9",3001068
Malus coronaria,Dichomeris ligulella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/6QSX9",3001166
Malus dulcissima,Dichomeris tostella  Stringer,species,accepted,"https://www.catalogueoflife.org/data/taxon/734WY",3001348
Malus pumila,Dichomeris ligulella  Hubner; Dichomeris tostella  Stringer; Evippe syrictis  Meyrick; Filatima epulatrix  Hodges; Gelechia rhombella  Denis & Schiff.; Parachronistis albiceps  Zeller; Pseudotelphusa incana  Hodges; Psoricoptera gibbosella  Zeller; Recurvaria leucatella  Clerck; Recurvaria nanella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/7NHJZ",3001068
Malus sylvestris,Aristotelia pudibundella  Zeller; Dichomeris ligulella  Hubner; Gelechia rhombella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/3XQYH",3001509
Malva sylvestris,Platyedra subcinerea  Haworth,species,accepted,"https://www.catalogueoflife.org/data/taxon/3XQYH",3152374
Malvastrum,Chionodes mariona  Heinrich,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5KQG",3152263
Mangifera,Palumbina glaucitis  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5KV6",3075453
Mangifera indica,Anarsia   ; Anarsia ephippias  Meyrick; Anarsia epotias  Meyrick; Anarsia lineatella  Zeller; Coconympha iriarcha  Meyrick; Hypatima haligramma  Meyrick; Hypatima mangiferae  Sattler; Hypatima melanoplecta  Meyrick; Hypatima nr. tephroplintha  Meyrick; Hypatima rhicnota  Meyrick; Hypatima spathota  Meyrick; Palumbina glaucitis  Meyrick; Thiotricha godmani  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/72SKV",3190638
Manilkara capensis - delete,,species,synonym,,
Manilkara zapota,Anarsia   ; Eustalodes achrasella  Bradley; Eustalodes anthivora  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/736JM",2885158
Medicago,Aristotelia subericinella  Duponchel; Dichomeris acuminatus  Staudinger; Syncopacma taeniolella  Zeller; Xystophora pulveratella  Herrich-SchÃ¤ffer,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CLB5",2965200
Medicago lupulina,Mirificarma eburnella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/3YNM2",2965201
Medicago polymorpha,Mirificarma eburnella  Denis & Schiff.,species,accepted,"https://www.catalogueoflife.org/data/taxon/3YNNJ",2965531
Medicago sativa,Aproaerema anthyllidella  Hubner; Aproaerema modicella  Deventer; Aristotelia subericinella  Duponchel; Athrips nigricostella  Duponchel; Dichomeris acuminatus  Staudinger; Dichomeris ianthes  Meyrick; Dichomeris limosellus  SchlÃ¤ger; Dichomeris piperata  Walsingham; Iwaruna biguttella  Duponchel; Mirificarma eburnella  Denis & Schiff.; Pectinophora gossypiella  Saunders; Stomopteryx nigricella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/3YNPB",
Melaleuca quinquenervia,Ardozyga sp.  ; Hypatima sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/3Z42S",5415832
Melanthera aspera aspera,Helcystogramma melantherella  Busck,species,synonym,,
Melanthera nivea,Helcystogramma melantherella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZC6H",3092271
Melia azedarach,Hypatima spathota  Meyrick; Paralida balanaspis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZDZL",5914287
Melia japonica,Paralida triannulata  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZDZL",2397
Melissa officinalis,Anasphaltis renigerella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZJGV",
Melochia umbellata,Dichomeris microdoxa  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZLZ5",3152126
Mentha,Ptocheuusa paupella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VZ9G",2927173
Mentha aquatica,Thiotricha subocellea  Stephens,species,accepted,"https://www.catalogueoflife.org/data/taxon/3ZRLS",2927208
Merremia peltata,Myconita lipara  Bradley,species,,"https://www.catalogueoflife.org/data/taxon/3ZWLZ",
Merremia quinquefolia,Helcystogramma convolvuli  Walsingham,species,,"https://www.catalogueoflife.org/data/taxon/3ZWMH",
Mespilus germanica,Recurvaria leucatella  Clerck,species,accepted,"https://www.catalogueoflife.org/data/taxon/6RBGS",3031774
Michelia champaca,Faristenia polemica  Meyrick,species,synonym,"https://www.catalogueoflife.org/data/taxon/6RGKN",
Miconia pholiana,Compsolechia sp. 4,species,accepted,"https://www.catalogueoflife.org/data/taxon/42NP2",3871020
Micromelum pubescens,Helcystogramma delocosma  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/42YTV",
Mikania micrantha,Helcystogramma tegulella  Walsingham; Recurvaria,species,accepted,"https://www.catalogueoflife.org/data/taxon/73KRM",5398421
Mikania trinitaria,,species,accepted,"https://www.catalogueoflife.org/data/taxon/43BPK",
Milium,Chrysoesthia drurella  Fabricius,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VZF3",2706194
Millettia auriculata,Dichomeris crepitatrix  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/43D6Y",5355776
Millettia japonica,Dichomeris oceanis  Meyrick,species,,"https://www.catalogueoflife.org/data/taxon/43D8C",
Mimosa,Aristotelia benedenii  Weyenbergh,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CLCS",2969235
Mimosa asperata,Filatima neotrophella  Heinrich,species,accepted,"https://www.catalogueoflife.org/data/taxon/9DX4M",2969475
Mimosa pudica,Stegasta variana  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/43GPS",
Mimosa rubicaulis,Anarsia ephippias  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/43GRF",2969303
Minuartia laricifolia,Caryocolum mucronatella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/7JJTZ",6364275
Minuartia mutabilis,Caryocolum mucronatella  ChrÃ©tien,species,synonym,"https://www.catalogueoflife.org/data/taxon/43KCS",
Minuartia setacea,Caryocolum mucronatella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/6RLX4",
Minuartia verna,Caryocolum alsinella  Zeller; Caryocolum mucronatella  ChrÃ©tien,species,accepted,"https://www.catalogueoflife.org/data/taxon/5KYSJ",3085588
Mirabilis nyctaginea,Nealyda bifidella  Dietz,species,accepted,"https://www.catalogueoflife.org/data/taxon/43LHJ",10363580
Moehringia bavarica,Caryocolum moehringiae  Klimesch,species,accepted,"https://www.catalogueoflife.org/data/taxon/73MVM",8041740
Moehringia ciliata ?,Caryocolum laceratella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6RMVL",3810607
Moehringia muscosa,Caryocolum moehringiae  Klimesch,species,accepted,"https://www.catalogueoflife.org/data/taxon/73MXF",7267358
Montezuma speciosissima,Pectinophora gossypiella  Saunders,species,accepted,"https://www.catalogueoflife.org/data/taxon/56FSB",7686764
Muehlenbeckia,Thiotricha thorybodes  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5VK7",2888858
Myrica,Teleiodes paripunctella  Thunberg,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5WHT",5938218
Myrica californica,Telphusa sp.,species,,"https://www.catalogueoflife.org/data/taxon/458CW",
Myrica pensylvanica,Dichomeris bipunctella  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/6RPLZ",7780807
Myricaria germanica,Teleiodes myricariella  Frey,species,accepted,"https://www.catalogueoflife.org/data/taxon/9Y5T7",12193726
Myriophyllum,Aristotelia subdecurtella  Stainton,genus,accepted,"https://www.catalogueoflife.org/data/taxon/5WJZ",2984253
Myrsine floridana,Dichomeris sp. 3,species,accepted,"https://www.catalogueoflife.org/data/taxon/73SY5",3169443
Myrtus communis,Aroga trialbamaculella  Chambers,species,synonym,"https://www.catalogueoflife.org/data/taxon/73SQR",
Nephelium,Anarsia patulella  Walker,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6368",3189978
Nephelium lappaceum,Dichomeris indiserta  Meyrick; Gelechia   ; Hypatima arignota  Meyrick; Polyhymno,species,accepted,"https://www.catalogueoflife.org/data/taxon/46YB4",5421126
Nicandra,Phthorimaea operculella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/63WR",2928854
Nicotiana,Bryotropha terrella  Denis & Schiff.; Keiferia lycopersicella  Walsingham; Phthorimaea operculella  Zeller; Scrobipalpa heliopa  Lower; Scrobipalpula absoluta  Meyrick; Scrobipalpula ilyella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/63Z9",2928756
Nicotiana alata,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/47CZN",
Nicotiana glauca,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D3V",2928783
Nicotiana glutinosa,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D3W",2928758
Nicotiana langsdorfii,Phthorimaea operculella  Zeller,species,,,
Nicotiana nudicaulis,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D5P",3799510
Nicotiana paniculata,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D63",2928760
Nicotiana rustica,Phthorimaea operculella  Zeller; Scrobipalpa heliopa  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D6X",2928775
Nicotiana sylvestris,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6RY4V",2928767
Nicotiana tabacum,Aristotelia sp.  ; Gnorimoschema   ; Gnorimoschema spp.  ; Phthorimaea operculella  Zeller; Scrobipalpa heliopa  Lower,species,accepted,"https://www.catalogueoflife.org/data/taxon/47D7F",2928774
Nitraria tridentata,Athrips nitrariella  ChrÃ©tien,species,synonym,"https://www.catalogueoflife.org/data/taxon/47JVS",
Oenothera,Dichomeris agonia  Hodges; Dichomeris trinotella  Busck,genus,accepted,"https://www.catalogueoflife.org/data/taxon/63FVB",3188799
Olearia avicenniaefolia,Apatetris melanombra  Meyrick,species,,,
Olearia solandri,Thiotricha oleariae  Hudson,species,accepted,"https://www.catalogueoflife.org/data/taxon/493XY",5405320
Onobrychis,Aproaerema anthyllidella  Hubner,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CLHZ",2972544
Ononis spinosa,Mirificarma cytisella  Treitschke,species,accepted,"https://www.catalogueoflife.org/data/taxon/49LF6",2977149
Onopordum,Metzneria eatoni  Walsingham,genus,accepted,"https://www.catalogueoflife.org/data/taxon/68D4",3094883
Oplismenus undulatifolius,Helcystogramma fuscomarginatum  Ueda,species,accepted,"https://www.catalogueoflife.org/data/taxon/8WZ6C",
Orbexilum onobrychis,Aristotelia psoraleae  Braun; Syncopacma adversa  Braun,species,accepted,"https://www.catalogueoflife.org/data/taxon/6T3DY",2944123
Origanum,Dichomeris schmidiella  Heyden; Psamathocrita osseella  Stainton; Telephila schmidtiellus  Heyden; Thiotricha subocellea  Stephens,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VZXX",2926611
Oryza,Ephysteris promptella  Staudinger; Helcystogramma arotraea  Meyrick; Helcystogramma malacogramma  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8VZYW",2703455
Oryza sativa,Athrips studiosa  Meyrick; Helcystogramma   ; Helcystogramma arotraea  Meyrick; Helcystogramma nr. malacogramma  Meyrick; Pityocona xeropis  Meyrick; Sitotroga cerealella  Olivier,species,accepted,"https://www.catalogueoflife.org/data/taxon/6SZF3",2703459
Osteospermum muricatum,Ephysteris ornata  Janse,species,accepted,"https://www.catalogueoflife.org/data/taxon/6TCYT",3093559
Ostrya virginiana,Anacampsis tristrigella  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/75D9H",5332289
Ouratea hexasperma,Dichomeris sp. 6,species,accepted,"https://www.catalogueoflife.org/data/taxon/4B934",7326838
Oxydendrum arboreum,Dichomeris ligulella  Hubner,species,accepted,"https://www.catalogueoflife.org/data/taxon/75FSZ",2882708
Padus,Psoricoptera gibbosella  Zeller,genus,,,
Panicum,Ephysteris promptella  Staudinger; Helcystogramma idiastis  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8W23T",2705064
Paraserianthes falcataria,Anarsia   ; Mesophleps epiochra  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/9D4VJ",2968263
Parthenium hysterophorus,Dichomeris nr. aenigmatica  Clarke; Dichomeris nr. hemiclina  Meyrick; Dichomeris simpliciella or nr.  Busck; Glyphidocera   ; Glyphidocera sp.  ; Gnorimoschema saphirinella  Chambers; Helcystogramma chambersella  Murtfeldt,species,accepted,"https://www.catalogueoflife.org/data/taxon/764TB",3086784
Parthenocissus quinquefolia quinquefolia,Monochroa absconditella  Walker,species,accepted,"https://www.catalogueoflife.org/data/taxon/4DTTQ",6449221
Pemphis acidula,Thiotricha sp. 2,species,accepted,"https://www.catalogueoflife.org/data/taxon/76HF8",
Pennisetum,Sitotroga cerealella  Olivier,genus,synonym,"https://www.catalogueoflife.org/data/taxon/8W27S",
Pennisetum glaucum,Sitotroga cerealella  Olivier,species,synonym,"https://www.catalogueoflife.org/data/taxon/76K3N",
Petasites paradoxus,Scrobipalpopsis petasitis  Pfaffenzeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/4FD24",
Petrorhagia saxifraga,Caryocolum leucomelanella  Zeller; Caryocolum vicinella  Douglas,species,accepted,"https://www.catalogueoflife.org/data/taxon/776HP",
Phacelia californica,Chionodes sp. B,species,accepted,"https://www.catalogueoflife.org/data/taxon/4FJSP",2928062
Phagnalon saxatile,Scrobipalpa phagnalella  Constant,species,accepted,"https://www.catalogueoflife.org/data/taxon/4FQ5F",3150065
Phaseolus,Anarsia ephippias  Meyrick; Bilobata subsecivella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/9CLNH",2947798
Phaseolus lunatus,Anacampsis meibomiella  Forbes,species,accepted,"https://www.catalogueoflife.org/data/taxon/4FW5T",5350438
Phillyrea angustifolia,Thiotricha coleella  Constant,species,accepted,"https://www.catalogueoflife.org/data/taxon/4G6XY",7325947
Photinia arbutifolia,Coleotechnites sp.,species,synonym,"https://www.catalogueoflife.org/data/taxon/4GSKL",
Photinia lucida,Dichomeris ochthophora  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/7P4WP",5364052
Phragmites,Brachmia inornatella  Douglas,genus,accepted,"https://www.catalogueoflife.org/data/taxon/8W2CS",2705783
Physalis,Aristotelia physaliella  Chambers; Phthorimaea operculella  Zeller; Symmetrischema lavernella  Chambers,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6PW6",
Physalis brasiliensis,Phthorimaea operculella  Zeller,species,synonym,"https://www.catalogueoflife.org/data/taxon/B5CLP",
Physalis heterophylla,Tildenia georgei  Hodges,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HFFT",
Physalis peruviana,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HFJV",5341784
Physalis pruinosa,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HFK8",6402729
Physalis virginiana,Symmetrischema kendallorum  Blanchard & Knu.,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HFMD",
Physalis viscosa,Aristotelia physaliella  Chambers; Phthorimaea operculella  Zeller; Symmetrischema lavernella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HFMJ",5341766
Phytolacca americana,Nealyda phytolaccae  Clarke,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HM9F",3084015
Picea,Chionodes electella  Zeller; Coleotechnites blastovora  McLeod; Coleotechnites ducharmei  Freeman; Coleotechnites martini  Freeman; Coleotechnites piceaella  Kearfott; Dichomeris alacella  Zeller,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6Q7C",7606064
Picea abies,Chionodes electella  Zeller; Coleotechnites martini  Freeman; Coleotechnites piceaella  Kearfott; Dichomeris latipennella  Rebel; Exoteleia pinifoliella  Chambers; Stenolechia trichaspis  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HPZF",
Picea glauca,Chionodes continuella  Zeller; Coleotechnites atrupictella  Dietz; Coleotechnites blastovora  McLeod; Coleotechnites ducharmei  Freeman; Coleotechnites martini  Freeman; Coleotechnites piceaella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HQ2V",5284745
Picea mariana,Coleotechnites atrupictella  Dietz; Coleotechnites canusella  Freeman; Coleotechnites ducharmei  Freeman; Coleotechnites piceaella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HQ3K",5284802
Picea pungens,Coleotechnites piceaella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HQ4J",5284871
Picea rubens,Coleotechnites atrupictella  Dietz; Coleotechnites ducharmei  Freeman; Coleotechnites piceaella  Kearfott,species,accepted,"https://www.catalogueoflife.org/data/taxon/4HQ4Q",5284717
Picea sitchensis,Coleotechnites atrupictella  Dietz,species,,"https://www.catalogueoflife.org/data/taxon/4HQ4Y",
Pimenta dioica,Phthorimaea operculella  Zeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/6VJPT",3186061
Pinus,Battaristis vittella  Busck; Chionodes electella  Zeller; Coleotechnites condignella  Busck; Coleotechnites coniferella  Kearfott; Coleotechnites ponderosae  Hodges & Stevens; Coleotechnites resinosae  Freeman; Exoteleia burkei  Keifer; Exoteleia dodecella  Linnaeus; Exoteleia nepheos  Freeman; Exoteleia pinifoliella  Chambers; Recurvaria nanella  Denis & Schiff.,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6QPY",2684241
Pinus attenuata,Exoteleia burkei  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/77L5J",5285497
Pinus banksiana,Coleotechnites canusella  Freeman; Coleotechnites coniferella  Kearfott; Coleotechnites resinosae  Freeman; Exoteleia dodecella  Linnaeus; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J237",
Pinus contorta,Coleotechnites ardas  Freeman; Coleotechnites atrupictella  Dietz; Coleotechnites biopes  Freeman; Coleotechnites canusella  Freeman; Coleotechnites florae  Freeman; Coleotechnites milleri  Busck; Coleotechnites starki  Freeman; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J24Y",
Pinus contorta murrayana,Coleotechnites milleri  Busck,species,synonym,,
Pinus echinata,Battaristis vittella  Busck; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J267",5285324
Pinus edulis,Coleotechnites edulicola  Hodges & Stevens,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J269",5285796
Pinus engelmannii,Coleotechnites ardas  Freeman; Coleotechnites atrupictella  Dietz; Coleotechnites canusella  Freeman; Coleotechnites florae  Freeman,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J26G",
Pinus flexilis,Coleotechnites lewisi  Freeman,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J273",
Pinus jeffreyi,Coleotechnites milleri  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/77KTP",8892957
Pinus kesiya,Peucoteles herpestica  Meyrick; Recurvaria sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J29G",5285824
Pinus khasya,Peucoteles herpestica  Meyrick,species,synonym,"https://www.catalogueoflife.org/data/taxon/4J29J",
Pinus markusii,Recurvaria sp.,species,,,
Pinus mugo,Exoteleia dodecella  Linnaeus; Exoteleia nepheos  Freeman,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2CJ",
Pinus nigra,Exoteleia dodecella  Linnaeus,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2D5",
Pinus nigra maritima,Exoteleia dodecella  Linnaeus,species,synonym,,
Pinus palustris,Coleotechnites chilcotti  Freeman; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2DX",5285816
Pinus ponderosa,Chionodes periculella  Busck; Chionodes retiniella  Barnes & Busck; Coleotechnites atrupictella  Dietz; Coleotechnites condignella  Busck; Coleotechnites moreonella  Heinrich; Coleotechnites pinella  Busck; Coleotechnites ponderosae  Hodges & Stevens; Exoteleia anomala  Hodges; Exoteleia pinifoliella  Chambers; Filatima natalis  Heinrich,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2F3",
Pinus pungens,Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2FK",
Pinus radiata,Exoteleia burkei  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2FP",5285727
Pinus resinosa,Coleotechnites florae  Freeman; Coleotechnites resinosae  Freeman; Exoteleia nepheos  Freeman; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2G5",5285067
Pinus rigida,Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2G9",5285635
Pinus sabiniana,Chionodes sabinianae  Powell; Exoteleia burkei  Keifer,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2GS",5285255
Pinus strobus,Dichomeris picrocarpa  Meyrick; Dichomeris setosella  Clemens; Exoteleia dodecella  Linnaeus,species,,"https://www.catalogueoflife.org/data/taxon/4J2HZ",
Pinus sylvestris,Battaristis vittella  Busck; Exoteleia dodecella  Linnaeus; Exoteleia nepheos  Freeman; Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2J5",
Pinus taeda,Battaristis vittella  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2J9",5285241
Pinus virginiana,Exoteleia pinifoliella  Chambers,species,accepted,"https://www.catalogueoflife.org/data/taxon/4J2KR",5285091
Pisonia aculeata,Nealyda pisoniae  Busck,species,accepted,"https://www.catalogueoflife.org/data/taxon/6VMHZ",3086260
Pistacia,Gelechia pistaciae  Filipjev; Palumbina glaucitis  Meyrick; Palumbina guerinii  Stainton; Schneidereria pistaciella  Weber; Schneidereria pistaciicola  Danilevsky; Teleiodes decorella  Haworth; Teleiopsis terebinthinella  Herrich-SchÃ¤ffer; Telphusa modesta  Danilevsky; Telphusa pistaciae  Sattler,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6QX7",3190459
Pistacia terebinthus,Palumbina guerinii  Stainton; Teleiopsis terebinthinella  Herrich-SchÃ¤ffer,species,accepted,"https://www.catalogueoflife.org/data/taxon/77MJ6",3190580
Pistacia vera,Gelechia pistaciae  Filipjev; Palumbina guerinii  Stainton; Pseudotelphusa danilevskyi  Piskunov; Schneidereria pistaciella  Weber; Schneidereria pistaciicola  Danilevsky; Telphusa modesta  Danilevsky; Telphusa pistaciae  Sattler,species,accepted,"https://www.catalogueoflife.org/data/taxon/77MJ8",3190585
Pisum sativum,Dichomeris acuminatus  Staudinger,species,accepted,"https://www.catalogueoflife.org/data/taxon/3SKYG",5347845
Pithecellobium dulce,Anarsia veruta  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/6VLPH",2962831
Pithecellobium unguis-cati,Aristotelia roseosuffusella  Clemens; Aristotelia sp.,species,accepted,"https://www.catalogueoflife.org/data/taxon/4JBG3",2962854
Pituranthos scoparius,Stomopteryx deverrae  Walsingham,species,accepted,"https://www.catalogueoflife.org/data/taxon/5GV6X",3633857
Planchonia careya,Hypatima scopulosa  Meyrick; Physoptila scenica  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4JJNK",5383741
Planchonia valida,Physoptila pinguivora  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4JJP3",5383744
Plantago,Acompsia tripunctella  Denis & Schiff.,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6RHN",3189695
Plantago coronopus,Metzneria littorella  Douglas; Scrobipalpa plantaginella  Stainton; Scrobipalpa samadensis  Pfaffenzeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/77NS2",3189739
Plantago maritima,Scrobipalpa plantaginella  Stainton; Scrobipalpa samadensis  Pfaffenzeller,species,accepted,"https://www.catalogueoflife.org/data/taxon/4JLPN",3189755
Plantago neumannii,,species,accepted,"https://www.catalogueoflife.org/data/taxon/5KHBL",
Platanus,Gelechia albisparsella  Chambers; Gelechia desiliens  Meyrick,genus,accepted,"https://www.catalogueoflife.org/data/taxon/6RKR",3152811
Platanus occidentalis,Gelechia albisparsella  Chambers; Gelechia desiliens  Meyrick,species,accepted,"https://www.catalogueoflife.org/data/taxon/4JN3N",3152820
