Host full name,Gelechiidae species name,Rank,COL status,COL taxon page
Anthyllis tragacanthoides,Syncopacma acanthyllidis  Walsingham,species,synonym,https://www.catalogueoflife.org/data/taxon/67K6N
Antirrhinum asarina,Acompsia antirrhinella  MilliÃ¨re,species,accepted,https://www.catalogueoflife.org/data/taxon/H4LK
Antirrhinum majus,Acompsia tripunctella  Denis & Schiff.,species,accepted,https://www.catalogueoflife.org/data/taxon/G2TD
Arachis hypogaea,Anarsia ephippias  Meyrick; Aproaerema modicella  Deventer; Bilobata subsecivella  Zeller; Helcystogramma melantherella  Busck; Stegasta bosqueella  Chambers; Stegasta capitella  Fabricius; Stegasta variana  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/G2TD
Aralia spinosa,Dichomeris juncidella  Clemens,species,accepted,https://www.catalogueoflife.org/data/taxon/65LHR
Arbutus,Gelechia panella  Busck,genus,accepted,https://www.catalogueoflife.org/data/taxon/62CRL
Arbutus menziesii,Gelechia panella  Busck; Pseudochelaria arbutina  Keifer,species,accepted,https://www.catalogueoflife.org/data/taxon/G6Q7
Arceuthobium,Filatima natalis  Heinrich,genus,accepted,https://www.catalogueoflife.org/data/taxon/ZVH
Arceuthobium oxycedri,Gelechia nr. epistolica  Meyrick; Gelechia paroxynta  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/G7JJ
Arctium,Metzneria lappella  Linnaeus,genus,accepted,https://www.catalogueoflife.org/data/taxon/32BQ
Arctium lappa,Metzneria lappella  Linnaeus,species,accepted,https://www.catalogueoflife.org/data/taxon/67S22
Arctium minus,Metzneria lappella  Linnaeus,species,accepted,https://www.catalogueoflife.org/data/taxon/5W3Q6
Arctium tomentosum,Metzneria lappella  Linnaeus,species,accepted,https://www.catalogueoflife.org/data/taxon/683PD
Arctostaphylos,Coleotechnites mackiei  Keifer; Gelechia panella  Busck; Pseudochelaria arbutina  Keifer; Pseudochelaria manzanitae  Keifer; Pseudochelaria scabrella  Busck,genus,accepted,https://www.catalogueoflife.org/data/taxon/62CT9
Arctostaphylos glauca,Coleotechnites mackiei  Keifer,species,accepted,https://www.catalogueoflife.org/data/taxon/GBMK
Arctostaphylos patula,Gelechia panella  Busck; Pseudochelaria manzanitae  Keifer,species,accepted,https://www.catalogueoflife.org/data/taxon/67RS8
Arenaria laricifolia,Caryocolum mucronatella  ChrÃ©tien,species,ambiguous synonym,https://www.catalogueoflife.org/data/taxon/67RBH
Argyrolobium,Syncopacma acanthyllidis  Walsingham,genus,accepted,https://www.catalogueoflife.org/data/taxon/9CJZB
Argythamnia blodgettii,Anacampsis argyrothamniella  Busck,species,,https://www.catalogueoflife.org/data/taxon/GKQ9
Armeria,Aristotelia brizella  Treitschke,genus,accepted,https://www.catalogueoflife.org/data/taxon/332R
Arrhenatherum,Helcystogramma rufescens  Haworth,genus,accepted,https://www.catalogueoflife.org/data/taxon/8VV7N
Artemisia,Dichomeris serrativittella  Zeller; Isophrictis similiella  Chambers; Scrobipalpula artemisiella  Kearfott; Sophronia chilonella  Treitschke,genus,accepted,https://www.catalogueoflife.org/data/taxon/62CHR
Artemisia absinthium,Scrobipalpa halonella  Herrich-SchÃ¤ffer,species,accepted,https://www.catalogueoflife.org/data/taxon/GVZC
Artemisia barrelieri,Scrobipalpa disjectella  Staudinger,species,accepted,https://www.catalogueoflife.org/data/taxon/GW4R
Artemisia caerulescens gallica,Scrobipalpa gallicella  Constant,species,accepted,https://www.catalogueoflife.org/data/taxon/BN2WG
Artemisia californica,Ptycerata sp.  ,species,accepted,https://www.catalogueoflife.org/data/taxon/GW5V
Artemisia campestris,Chionodes distinctella  Zeller; Scrobipalpa disjectella  Staudinger; Scrobipalpula psilella  Herrich-SchÃ¤ffer; Sophronia humerella  Denis & Schiff.; Sophronia sicariella  Zeller,species,accepted,https://www.catalogueoflife.org/data/taxon/B4PTG
Artemisia campestris borealis,Scrobipalpula artemisiella  Kearfott,species,accepted,https://www.catalogueoflife.org/data/taxon/B44FP
Artemisia douglasiana,Scrobipalpa sp. A  ,species,accepted,https://www.catalogueoflife.org/data/taxon/67SKB
Artemisia maritima,Scrobipalpula psilella  Herrich-SchÃ¤ffer,species,synonym,https://www.catalogueoflife.org/data/taxon/GWLR
Artemisia princeps,Dichomeris rasilella  Herrich-SchÃ¤ffer,species,accepted,https://www.catalogueoflife.org/data/taxon/GWSX
Artemisia princeps orientalis,Dichomeris rasilella  Herrich-SchÃ¤ffer,species,synonym,https://www.catalogueoflife.org/data/taxon/GWFY
Artemisia rigida,Aroga rigidae  Clarke,species,accepted,https://www.catalogueoflife.org/data/taxon/67SLH
Artemisia tridentata,Aroga trilineella  Chambers,species,accepted,https://www.catalogueoflife.org/data/taxon/GX2B
Artemisia tripartita tripartita,Dichomeris juncidella  Clemens,species,accepted,https://www.catalogueoflife.org/data/taxon/5FSM9
Artemisia vulgaris,Aroga eldorada  Keifer; Dichomeris rasilella  Herrich-SchÃ¤ffer,species,accepted,https://www.catalogueoflife.org/data/taxon/GX3X
Asclepias curassavica,Dichomeris varronia  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/H6BX
Aster,Anacampsis nonstrigella  Busck; Dichomeris agonia  Hodges; Dichomeris bilobella  Zeller; Dichomeris flavocostella  Clemens; Dichomeris juncidella  Clemens; Dichomeris leuconotella  Busck; Dichomeris levisella  Fyles; Dichomeris nonstrigella  Chambers; Dichomeris ochripalpella  Zeller; Gnorimoschema busckiella  Kearfott; Gnorimoschema gallaeasterella  Kellicott; Gnorimoschema sp. B  ; Gnorimoschema subterranea  Busck; Scrobipalpa atriplicella  Fischer v. RÃ¶sl.; Scrobipalpa salinella  Zeller,genus,accepted,https://www.catalogueoflife.org/data/taxon/62DZL
Aster cordifolius,Dichomeris levisella  Fyles; Dichomeris ochripalpella  Zeller,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q78
Aster divaricatus,Gnorimoschema gallaeasterella  Kellicott,species,synonym,https://www.catalogueoflife.org/data/taxon/5W6P8
Aster eatonii,Dichomeris setosella  Clemens; Dichomeris stipendiaria  Braun,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q6T
Aster ericoides,Gnorimoschema subterranea  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q7J
Aster ericoides ericoides,Gnorimoschema subterranea  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q7J
Aster longifolius,Gnorimoschema septentrionella  Fyles,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q8L
Aster macrophyllus,Dichomeris leuconotella  Busck; Dichomeris levisella  Fyles,species,accepted,https://www.catalogueoflife.org/data/taxon/3D39Z
Aster patens,Gnorimoschema busckiella  Kearfott,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q8T
Aster sedifolius sedifolius,Caulastrocecis gypsella  Constant,species,synonym,https://www.catalogueoflife.org/data/taxon/7JT9Q
Aster shortii,Dichomeris nonstrigella  Chambers,species,accepted,https://www.catalogueoflife.org/data/taxon/53Q9K
Aster tripolium,Apodia bifractella  Duponchel; Scrobipalpa salinella  Zeller,species,ambiguous synonym,https://www.catalogueoflife.org/data/taxon/8VCS6
Aster umbellatus,Gnorimoschema gallaeasterella  Kellicott,species,synonym,https://www.catalogueoflife.org/data/taxon/67V36
Asteriscus maritimus,Metzneria tenuiella  Mann,species,,https://www.catalogueoflife.org/data/taxon/686DW
Asteriscus mauritanicus,Ptocheuusa asterisci  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/5K5BH
Astragalus gombo,Syncopacma thaumalea  Walsingham,species,accepted,https://www.catalogueoflife.org/data/taxon/HXYZ
Atractylis,Metzneria eatoni  Walsingham,genus,accepted,https://www.catalogueoflife.org/data/taxon/62DV9
Atriplex,Chrysoesthia drurella  Fabricius; Chrysoesthia sexguttella  Thunberg; Chrysoesthia stipella  Hubner; Scrobipalpa atriplicella  Fischer v. RÃ¶sl.; Scrobipalpa obsoletella  Fischer v. RÃ¶sl.,genus,accepted,https://www.catalogueoflife.org/data/taxon/35CY
Atriplex canescens,Scrobipalpa atriplex  Busck,species,accepted,https://www.catalogueoflife.org/data/taxon/JLB9
Atriplex halimus,Apatetris halimilignella  Walsingham; Chrysoesthia gaditella  Staudinger; Chrysoesthia halymella  Amsel; Scrobipalpa halymella  MilliÃ¨re,species,accepted,https://www.catalogueoflife.org/data/taxon/JLFD
Atriplex lampa,Tuta atriplicella  Kieffer & JÃ¶rg.,species,accepted,https://www.catalogueoflife.org/data/taxon/JLH2
Atriplex nitens,Scrobipalpa nitentella  Fuchs,species,synonym,https://www.catalogueoflife.org/data/taxon/JLKQ
Atriplex nummularia,Scrobipalpa xerophylla  Meyrick,species,accepted,https://www.catalogueoflife.org/data/taxon/JLKW
Atriplex vestita appendiculata,Scrobipalpa instabilella  Douglas,species,accepted,https://www.catalogueoflife.org/data/taxon/BP8K7
Austroeupatorium inulaefolium,Recurvaria   ,species,accepted,https://www.catalogueoflife.org/data/taxon/JWHK
Avena sativa,Megacraspedus dolosellus  Zeller; Sitotroga cerealella  Olivier,species,accepted,https://www.catalogueoflife.org/data/taxon/K2QJ
Azanza garckeana,Mometa zemiodes  Durrant,species,accepted,https://www.catalogueoflife.org/data/taxon/7BWLP
Baccharis,Aristotelia   ; Gnorimoschema baccharisella  Busck,genus,accepted,https://www.catalogueoflife.org/data/taxon/372Q
