Genus,Subfamily,Status,Type species,Reference,Link to the reference,Gbif node
"Dirhinosia Rebel, 1905","Anomologinae Meyrick, 1926",This name is accepted,"Dirhinosia trifasciella Rebel, 1905","Annalen Des Naturhistorischen Museums in Wien, 20, 212",,
"Dissoptila Meyrick, 1914","Gelechiinae Stainton, 1854",This name is accepted,"Dissoptila mutabilis Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 234",,
"Distinixia Povolný, 1967","Gelechiinae Stainton, 1854","This name is a synonym of Vladimirea (Distinxia) Povolný, 1967",,,,
"Dolerotricha Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Anarsia Zeller, 1839",,,,
"Dorycnopa Lower, 1901","Anomologinae Meyrick, 1926",This name is accepted,"Dorycnopa acroxantha Lower, 1901","Transactions of the Royal Society of South Australia, 25, 77",,
"Drepanoterma Walsingham, 1897","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Drepanotherma Gaede, 1937","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Elasiprora Meyrick, 1914","Dichomeridinae Hampson, 1918","This name is a synonym of Besciva Busck, 1914",,,,
"Emmetrophysis Diakonoff, 1954",Unassigned,This name is provisionally accepted,,Afdeeling Natuurkunde. 50: 10550,,
"Empalactis Meyrick, 1925","Anacampsinae Bruand, 1850",This name is accepted,"Nothris sporogramma Meyrick, 1921","Genera Insectorum, 184, 18 [key], 170",,
"Sclerograptis Meyrick, 1923","Anacampsinae Bruand, 1850",This name is accepted,"Sclerograptis oxytypa Meyrick, 1923","Exotic Microlepidoptera, 3, 31",,
"Empedaula Meyrick, 1918",Unassigned,This name is accepted,"Empedaula insipiens Meyrick, 1918","Exotic Microlepidoptera, 2, 148",,
"Encentrotis Meyrick, 1921",Unassigned,This name is accepted,"Encentrotis catagrapha Meyrick, 1921","Annals of the Transvaal Museum, 8, 65",,
"Enchrysa Zeller, 1873",Unassigned,This name is accepted,"Enchrysa dissectella Zeller, 1873",Verhandlungen der Zoologisch-Botanischen Gesellschaft in Wien 23(Abh.): 282,,
"Encolapta Meyrick, 1913","Anacampsinae Bruand, 1850",This name is accepted,"Encolapta metorcha Meyrick, 1913","Journal of the Bombay Natural History Society, 22, 167",,
"Encolpotis Meyrick, 1909",Unassigned,This name is provisionally accepted,,Annals of the South African Museum. 5: 1181,,
"Ephelictis Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Ephysteris Meyrick, 1908","Gelechiinae Stainton, 1854",This name is accepted,"Ephysteris chersaea Meyrick, 1908","Proceedings of the Zoological Society of London, 1908, 724",,
"Epibrontis Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Epidola Staudinger, 1859","Anomologinae Meyrick, 1926",This name is accepted,"Epidola stigma Staudinger, 1859","Stettiner Entomologische Zeitung, 20, 243",,
"Epilechia Busck, 1939","Apatetrinae Meyrick, 1947",This name is accepted,"Gelechia catalinella Busck, 1907","Proceedings of the United States National Museum, 86, 568 [keys], 580",,
"Epimesophleps Rebel, 1907","Gelechiinae Stainton, 1854","This name is a synonym of Holcophora Staudinger, 1871",,,,
"Epimimastis Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Epiparasia Rebel, 1914","Apatetrinae Meyrick, 1947","This name is a synonym of Metanarsia Staudinger, 1871",,,,
"Epiphthora Meyrick, 1888","Apatetrinae Meyrick, 1947",This name is accepted,"Epiphthora melanombra Meyrick, 1888","Transactions and Proceedings of the New Zealand Institute, 20, 77",,
"Episacta Turner, 1919","Anacampsinae Bruand, 1850","This name is a synonym of Hypatima Hübner, [1825]",,,,
"Epithectis Meyrick, 1895","Gelechiinae Stainton, 1854","This name is a synonym of Athrips Billberg, 1820",,,,
"Ergasiola Povolný, 1967","Gelechiinae Stainton, 1854","This name is a synonym of Scrobipalpa Janse, 1951",,,,
"Erikssonella Janse, 1960","Gelechiinae Stainton, 1854","This name is a synonym of Schizovalva Janse, 1951",,,,
"Eripnura Meyrick, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Eripnura criodes Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 242",,
"Eristhenodes Meyrick, 1935","Gelechiinae Stainton, 1854",This name is accepted,"Eristhenodes tetrapetra Meyrick, 1935","Exotic Microlepidoptera, 4, 559",,
"Erythriastis Meyrick, 1925",Unassigned,This name is provisionally accepted,,Genera insectorum. 184: 4766,,
"Ethirostoma Meyrick, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Ethirostoma semiacma Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 244",,
"Ethmiopsis Meyrick, 1935","Dichomeridinae Hampson, 1918",This name is accepted,"Ethmiopsis prosectrix Meyrick, 1935","Mater. Microlepid. Fauna chin. Provinzen Kiangsu, Chekiang, Hunan: 69",,
"Euchionodes Clarke, 1950","Gelechiinae Stainton, 1854","This name is a 	synonym of Chionodes Hübner, [1825]",,,,
"Eudactylota Walsingham, 1911","Gelechiinae Stainton, 1854",This name is accepted,"Neodactylota barberella Busck, 1903","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 54",,
"Eulamprotes Bradley, 1971","Anomologinae Meyrick, 1926","This name is a synonym of Oxypteryx Rebel, 1911",,,,
"Eunebristis Meyrick, 1923","Dichomeridinae Hampson, 1918",This name is accepted,"Noeza zachroa Meyrick, 1914","Exotic Microlepidoptera, 3, 3",,
"Eunomarcha Meyrick, 1923",Unassigned,This name is accepted,"Eunomarcha glycinopis Meyrick, 1923","Exotic Microlepidoptera, 3, 26",,
"Eupolis Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Euryctista Janse, 1963","Anomologinae Meyrick, 1926","This name is a 	synonym of Anomologa Meyrick, 1926",,,,
"Eurysacca Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Phthorimaea melanocampta Meyrick, 1917","Acta Ent. Mus. Natn. Pragae, 37, 97",,
"Eurysaccoides Povolný, 1998","Gelechiinae Stainton, 1854",This name is accepted,"Eurysaccoides gallaespinosae Povolný, 1998","SHILAP Revista De Lepidopterologia, 26, 142; 235",,
"Euscrobipalpa Povolný, 1967","Gelechiinae Stainton, 1854","This name is a synonym of Scrobipalpa Janse, 1951",,,,
"Eustalodes Meyrick, 1927","Dichomeridinae Hampson, 1918",This name is accepted,"Eustalodes oenosema Meyrick, 1927",Insects Samoa 3(Lepid. 2): 82,,
"Euzonomacha Meyrick, 1925",Unassigned,This name is accepted,"Gelechia subjectella Walker, 1864","Genera Insectorum, 184, 17 [key], 133",,
"Exceptia Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Gnorimoschema neopetrella Keifer, 1936","Acta Ent. Mus. Natn. Pragae, 37, 114",,
"Excommatica Janse, 1951","Anacampsinae Bruand, 1850",This name is accepted,"Commatica compsotoma Meyrick, 1921","The Moths of South Africa, 5, 267",,
"Exoteleia Wallengren, 1881","Gelechiinae Stainton, 1854",This name is accepted,"Phalaena dodecella Linnaeus, 1758","Entomologisk Tidskrift, 2, 94",,
"Faculta Busck, 1939",Unassigned,This name is accepted,"Gelechia triangulella Busck, 1907","Proceedings of the United States National Museum, 86, 568 [keys], 581",,
"Fapua Keiffer & Jorgensen, 1910","Gelechiinae Stainton, 1854","This name is a synonym of Tecia Kieffer & Jörgensen, 1910",,,,
"Faristenia Ponomarenko, 1991","Anacampsinae Bruand, 1850",This name is accepted,"Faristenia omelkoi Ponomarenko, 1991","Entomologicheskoe Obozrenie, 70, 601",,
"Fascista Busck, 1939",Unassigned,This name is accepted,"Depressaria cercerisella Chambers, 1872","Proceedings of the United States National Museum, 86, 568 [keys], 580",,
"Ficulea Walker, 1864","Apatetrinae Meyrick, 1947",This name is accepted,"Ficulea blandulella Walker, 1864","List of the Specimens of Lepidopterous Insects in the Collection of the British Museum, 29, 794",,
"Filatima Busck, 1939","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia serotinella Busck, 1903","Proceedings of the United States National Museum, 86, 568 [keys], 575",,
"Filisignella Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Epiphthora cirrhaea Meyrick, 1914","The Moths of South Africa, 5, 227 [key], 232",,
"Flexiptera Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia revoluta Meyrick, 1918","The Moths of South Africa, 6, 94",,
"Fortinea Busck, 1914",Unassigned,This name is accepted,"Fortinea auriciliella Busck, 1914","Proceedings of the United States National Museum, 47, 3.",,
"Friseria Busck, 1939","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia lindenella Busck, 1903","Proceedings of the United States National Museum, 86, 567, & 568 [keys], 573",,
"Frumenta Busck, 1939","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia nundinella Zeller, 1873","Proceedings of the United States National Museum, 86, 568 [keys], 577",,
"Furcaphora Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Telphusa caelata Meyrick, 1913","The Moths of South Africa, 6, 66",,
"Furcatisacculus Omelko, 1986","Gelechiinae Stainton, 1854","This name is a synonym of Protoparachronistis M.M. Omelko, 1986",,,,
"Galtica Busck, 1914","Apatetrinae Meyrick, 1947",This name is accepted,"Galtica venosa Busck, 1914","Proceedings of the United States National Museum, 47, 6",,
"Gambrostola Meyrick, 1926",Unassigned,This name is provisionally accepted,,Annals of the South African Museum. 23: 1180,,
"Gelechia Hübner, [1825]","Gelechiinae Stainton, 1854",This name is accepted,"Tinea rhombella [Denis & Schiffermüller], 1775",Verz. bekannter Schmett.: 415,,
"Geniadophora Walsingham, 1897","Gelechiinae Stainton, 1854",This name is accepted,"Poecilia extranea Walsingham, 1892","Proceedings of the Zoological Society of London, 1897, 71",,
"Gladiovalva Sattler, 1960","Anomologinae Meyrick, 1926",This name is accepted,"Gelechia rumicivorella Millière, 1881","Deutsche Entomologische Zeitschrift (N.F.)7: 16, & 17 [keys], 60",,
"Glaphyrerga Meyrick, 1935","Apatetrinae Meyrick, 1947","This name is a synonym of Harpagidia Ragonot, 1895",,,,
"Glauce Chambers, 1875","Gelechiinae Stainton, 1854",This name is accepted,"Glauce pectenalaeella Chambers, 1875","Canadian Entomologist, 7, 11",,
"Glycerophthora Meyrick,1935",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Gnorimoschema Busck, 1900","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia gallaesolidaginis Riley, 1869","Proceedings of the United States National Museum, 23, 227",,
"Gnosimacha Meyrick, 1927","Anacampsinae Bruand, 1850","This name is a 	synonym of Mesophleps Hübner, [1825]",,,,
"Gobipalpa Povolný, 1973","Gelechiinae Stainton, 1854",This name is accepted,"Gobipalpa inexpectata Povolný, 1973",Přírodovědné práce ústavů Akademie věd České republiky v Brně (N.S.)7(2): 18,,
"Grandipalpa Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Grandipalpa robusta Janse, 1951","The Moths of South Africa, 5, 227 [key], 235",,
"Guebla Chrétien, 1915","Apatetrinae Meyrick, 1947","This name is a synonym of Chrysoesthia Hübner, [1825]",,,,
"Hapalonoma Meyrick, 1914","Anacampsinae Bruand, 1850",This name is accepted,"Hapalonoma argyracta Meyrick, 1914","Transactions of the Entomological Society of London, 1914, 244",,
"Hapalosaris Meyrick, 1917","Gelechiinae Stainton, 1854","This name is a synonym of Coleotechnites Chambers, 1880",,,,
"Haplochela Meyrick, 1923","Dichomeridinae Hampson, 1918",This name is accepted,"Chelaria mundana Meyrick, 1914","Exotic Microlepidoptera, 3, 32",,
"Haplovalva Janse, 1958","Anacampsinae Bruand, 1850","This name is a synonym of Neofaculta Gozmány, 1955",,,,
"Harmatitis Meyrick, 1910",Unassigned,This name is accepted,"Harmatitis sphecopa Meyrick, 1910","Journal of the Bombay Natural History Society, 20, 460",,
"Harpagidia Ragonot, 1895","Apatetrinae Meyrick, 1947",This name is accepted,"Harpagidia pallidibasella Ragonot, 1895","Bulletin De La Société Entomologique De France, 1895, 107",,
"Hedma Dumont, 1932","Gelechiinae Stainton, 1854","This name is a synonym of Microlechia Turati, 1924",,,,
"Helcystogramma Zeller, 1877","Dichomeridinae Hampson, 1918",This name is accepted,"Gelechia obseratella Zeller, 1877","Horae Societatis Entomologicae Rossicae, 13, 369",,
"Hemiarcha Meyrick, 1904",Unassigned,"This name is a synonym of Ardozyga Lower, 1902",,,,
"Hierangela Meyrick, 1864","Thiotrichinae Meyrick, 1886","This name is a 	synonym of Thiotricha Meyrick, 1886",,,,
"Holaxyra Meyrick, 1913","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Holcophora Staudinger, 1871","Gelechiinae Stainton, 1854",This name is accepted,"Holcophora statices Staudinger, 1871","Berliner Entomologische Zeitschrift, 14, 313",,
"Holcophoroides Matsumura, 1931",Unassigned,This name is accepted,"Holcophoroides nigriceps Matsumura, 1931",6000 illust. Insects Japan-Empire: 1084,,
"Holophysis Walsingham, 1910",Unassigned,This name is accepted,"Strobisia emblemella Clemens, 1860","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 29",,
"Homoshelas Meyrick, 1935","Anacampsinae Bruand, 1850","This name is a synonym of Encolapta Meyrick, 1913",,,,
"Homotima Diakonoff, 1954",Unassigned,This name is provisionally accepted,,Verhandelingen der Koninklijke Nederlandsche (Nederlandse) Akademie van Wetenschappen. Afdeeling Natuurkunde. 50: 10550,,
"Horridovalva Sattler, 1967","Anomologinae Meyrick, 1926","This name is a synonym of Horridovalva Sattler, 1967",,,,
"Hylograptis Meyrick, 1910","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Hyodectis Meyrick, 1904","Dichomeridinae Hampson, 1918",This name is accepted,"Hyodectis crenoides Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 257 [key], 411",,
"Hypatima Hübner, [1825]","Anacampsinae Bruand, 1850",This name is accepted,"Tinea conscriptella Hübner, [1805]",Verz. bekannter Schmett.: 415,,
"Hyperecta Meyrick, 1925","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Hypocecis Walsingham, 1904",Unassigned,"This name is a synonym of Sclerocecis Chrétien, 1908",,,,
"Hypodrasia Diakonoff, [1968] 1967",Unassigned,This name is provisionally accepted,,,,
"Idiophantis Meyrick, 1904",Unassigned,This name is accepted,"Idiophantis habrias Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 257 [key], 298",,
"Ilingiotis Meyrick, 1914","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Ilseopsis Povolny, 1965","Gelechiinae Stainton, 1854","This name is a synonym of Scrobipalpa Janse, 1951",,,,
"Inotica Meyrick, 1913","Anacampsinae Bruand, 1850","This name is a synonym of Stomopteryx Heinemann, 1870",,,,
"Iochares Meyrick, 1921","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Irenidora Meyrick, 1938",Unassigned,This name is provisionally accepted,,"Deutsche Entomologische Zeitschrift, Iris. 52: 3003",,
"Ischnocraspedus Janse, 1958","Anomologinae Meyrick, 1926",This name is accepted,"Megacraspedus peracuta Meyrick, 1920","The Moths of South Africa, 6, 140",,
"Ischnophenax Meyrick, 1931",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 4: 4515,,
"Ischnophylla Janse, 1963","Apatetrinae Meyrick, 1947",This name is accepted,"Ischnophylla similicolor Janse, 1963","The Moths of South Africa, 6, 246, 278 [key]",,
"Isembola Meyrick, 1926","Apatetrinae Meyrick, 1947",This name is accepted,"Isembola diasticta Meyrick, 1926","Exotic Microlepidoptera, 3, 271",,
"Isochasta Meyrick, 1885",Unassigned,This name is accepted,"Isochasta paradesma Meyrick, 1886","N.Z. Jl Sci. Dunedin, 2, 590. 1886: 162 [key], 163",,
"Isophrictis Meyrick, 1917","Anomologinae Meyrick, 1926",This name is accepted,"Tinea striatella [Denis & Schiffermüller], 1775","Entomologist’s Monthly Magazine, 53, 113",,
"Istrianis Meyrisk, 1918","Gelechiinae Stainton, 1854",This name is accepted,"Istrianis crauropa Meyrick, 1918","Exotic Microlepidoptera, 2, 130",,
"Iulota Meyrick, 1904","Gelechiinae Stainton, 1854",This name is accepted,"Iulota ithyxyla Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 257 [key], 283",,
"Ivanauskiella Ivinskis & Piskunov, 1980","Anomologinae Meyrick, 1926",This name is accepted,"Ivanauskiella turkmenica Ivinskis & Piskunov, 1980","Liet. TSR Mokslu Akad. Darb. (C), 90, 23",,
"Iwaruna Gozmány, 1957","Anacampsinae Bruand, 1850",This name is accepted,"Iwaruna heringi Gozmány, 1957","Acta Zoologica Academiae Scientiarum Hungaricae, 3, 125",,
"Kahelia Turati, 1922","Anacampsinae Bruand, 1850","This name is a synonym of Stomopteryx Heinemann, 1870",,,,
"Karwandania Amsel, 1959",Unassigned,This name is accepted,"Karwandania chimabacchella Amsel, 1959","Stuttg. Beitr. Naturk., 28, 30",,
"Keiferia Busck, 1939","Gelechiinae Stainton, 1854",This name is accepted,"Phthorimaea lycopersicella Busck, 1928","Proceedings of the United States National Museum, 86, 568 [keys], 571",,
"Kiwaia Philpott, 1930","Gelechiinae Stainton, 1854",This name is accepted,"Kiwaia jeanae Philpott, 1930","Rec. Canterbury Mus., 3, 248",,
"Klimeschiopsis Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia discontinuella Rebel, 1899","Acta Ent. Mus. Natn. Pragae, 37, 191",,
"Lacharissa Meyrick, 1937",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 5: 4524,,
"Lachnostola Meyrick, 1918",Unassigned,This name is accepted,"Lachnostola amphizeucta Meyrick, 1918","Annals of the Transvaal Museum, 6, 22",,
"Lacistodes Meyrick, 1907","Apatetrinae Meyrick, 1947",This name is accepted,"Lacistodes tauropis Meyrick, 1921","Annals of the Transvaal Museum, 8, 92",,
"Lanceopenna Janse, 1949",Unassigned,This name is accepted,"Lanceopenna pseudogaleotis Janse, 1950","The Moths of South Africa, 5, 124",,
"Lanceoptera Janse, 1960","Apatetrinae Meyrick, 1947",This name is accepted,"Lanceoptera panochra Janse, 1960","The Moths of South Africa, 6, 181",,
"Larcophora Meyrick, 1925",Unassigned,This name is accepted,"Onebala sophronistis Meyrick, 1918","Genera Insectorum, 184, 5 [key], 241",,
"Laris Omelko, 1988","Gelechiinae Stainton, 1854","This name is a synonym of Parastenolechia Kanazawa, 1985",,,,
"Lasiarchis Meyrick, 1937","Apatetrinae Meyrick, 1947",This name is accepted,"Lasiarchis elaeoxyla Meyrick, 1937","Exotic Microlepidoptera, 5, 92",,
"Lata Kieffer & Jorgensen, 1910","Gelechiinae Stainton, 1854","This name is a synonym of Tecia Kieffer & Jörgensen, 1910",,,,
"Latrologa Meyrick, 1918",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 2: 4497,,
"Leistogenes Meyrick, 1927",Unassigned,This name is accepted,"Leistogenes rebellis Meyrick, 1927","Exotic Microlepidoptera, 3, 363",,
"Leptogeneia Meyrick, 1904",Unassigned,This name is accepted,"Leptogeneia bicristata Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 257 [key], 412",,
"Leucogoniella Fletcher, 1940",Unassigned,This name is accepted,"Parasia subsimella Clemens, 1860","Entomologist’s Rec. J. Var., 52, 18",,
"Leucophylla Janse, 1960","Gelechiinae Stainton, 1854","This name is a synonym of Tricerophora Janse, 1958",,,,
"Leuronoma Meyrick, 1918","Gelechiinae Stainton, 1854",This name is accepted,"Leuronoma chlorotoma Meyrick, 1918","Annals of the Transvaal Museum, 6, 16",,
"Lexiarcha Meyrick, 1916",Unassigned,"This name is a 	synonym of Ardozyga Lower, 1902",,,,
"Limenarchis Meyrick, 1926",Unassigned,This name is accepted,"Limenarchis zonodeta Meyrick, 1926","Exotic Microlepidoptera, 3, 288",,
"Lixodessa Gozmány, 1957","Anacampsinae Bruand, 1850","This name is a synonym of Aproaerema Durrant, 1897",,,,
"Logisis Walsingham, 1909","Gelechiinae Stainton, 1854",This name is accepted,"Logisis achroea Walsingham, 1909","Biologia Centrali-Americana (Zoology) Lepidoptera-Heterocera, 4, 20",,
"Lophaeola Meyrick, 1932","Gelechiinae Stainton, 1854",This name is accepted,"Lophaeola inquinata Meyrick, 1932","Exotic Microlepidoptera, 4, 194",,
"Lutilabria Povolný, 1965","Gelechiinae Stainton, 1854",This name is accepted,"Gelechia lutilabrella Mann, 1857","Acta Ent. Bohemoslovaca, 62, 482",,
"Lysipatha Meyrick, 1926","Gelechiinae Stainton, 1854",This name is provisionally accepted,"Lysipatha cyanoschista Meyrick, 1926",Exot. Microlep. 3 (10): 289,,
"Macracaena Common, 1958","Apatetrinae Meyrick, 1947",This name is accepted,"Macracaena adela Common, 1958","Aust. J. Zool., 6, 271 [key], 300",,
"Macrenches Meyrick, 1904","Thiotrichinae Meyrick, 1886",This name is accepted,"Macrenches eurybatis Meyrick, 1904","Proceedings of the Linnean Society of New South Wales, 29, 259 [key], 306",,
"Macrocalcara Janse, 1951","Apatetrinae Meyrick, 1947",This name is accepted,"Apatetris undina Meyrick, 1921","The Moths of South Africa, 5, 228 [key], 237",,
"Magnifacia Povolný, 1967","Gelechiinae Stainton, 1854",This name is accepted,"Phthorimaea aulorrhoa Meyrick, 1935","Acta Ent. Mus. Natn. Pragae, 37, 97",,
"Magonympha Meyrick, 1916",Unassigned,This name is accepted,"Magonympha chrysocosma Meyrick, 1916","Exotic Microlepidoptera, 1, 572",,
"Megacraspedus Zeller, 1839","Anomologinae Meyrick, 1926",This name is accepted,"Ypsolophus (Megacraspedus) dolosellus Zeller, 1839","Versuch einer naturgemässen Eintheilung der Schaben. Isis Von Oken, 1839, 167–220",,
"Megalocypha Janse, 1960","Gelechiinae Stainton, 1854","This name is a synonym of Microlechia Turati, 1924",,,,
"Melitoxestis Meyrick, 1921","Apatetrinae Meyrick, 1947",This name is accepted,"Melitoxestis centrotypa Meyrick, 1921","Annals of the Transvaal Museum, 8, 75",,
"Melitoxoides Janse, 1958","Anacampsinae Bruand, 1850","This name is a synonym of Nothris Hübner, [1825]",,,,
"Menecratistis Meyrick, 1933","Apatetrinae Meyrick, 1947","This name is a synonym of Clepsigenes Meyrick, 1930",,,,
"Meridorma Meyrick, 1925",Unassigned,This name is accepted,"Ptocheuusa thrombodes Meyrick, 1914","Genera Insectorum, 184, 15 [key], 31",,
"Merimnetria Walsingham, 1907","Anomologinae Meyrick, 1926",This name is accepted,"Merimnetria flaviterminella Walsingham, 1907",Fauna hawaii. 1(5): 482,,
"Mesogelechia Omelko, 1986","Gelechiinae Stainton, 1854","This name is a synonym of Gelechia Hübner, [1825]",,,,
"Mesophleps Hübner, [1825] 1816","Anacampsinae Bruand, 1850",This name is accepted,"Tinea silacella Hübner, 1796",Verz. bekannter Schmett.: 406,,
"Metabolaea Meyrick, 1923",Unassigned,This name is accepted,"Metabolaea chlorophthalma Meyrick, 1923","Exotic Microlepidoptera, 3, 32",,
"Metanarsia Staudinger, 1871","Apatetrinae Meyrick, 1947",This name is accepted,"Metanarsia modesta Staudinger, 1871","Berliner Entomologische Zeitschrift, 14, 314",,
"Metaplatyntis Meyrick, 1938",Unassigned,This name is accepted,"Metaplatyntis synclepta Meyrick, 1938","Exploration Du Parc National Albert : Mission G. F. De Witte (1933-1935), 14, 16.",,
"Metatactis Janse, 1949","Dichomeridinae Hampson, 1918",This name is accepted,"Metatactis griseobrunnea Janse, 1949","The Moths of South Africa, 5, 16 [key], 53",,
"Meteoristis Meyrick, 1923",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 3: 4506,,
"Metopios Lucas, 1945",Unassigned,This name is accepted,"Metopios tozeurellum Lucas, 1945","Bulletin De La Société Entomologique De France, 1945, 8",,
"Metopleura Busck, 1912","Gelechiinae Stainton, 1854",This name is accepted,"Metopleura potosi Busck, 1912","Proceedings of the Entomological Society of Washington, 14, 83",,
"Metzneria Zeller, 1839","Anomologinae Meyrick, 1926",This name is accepted,"Gelechia (Metzneria) paucipunctella Zeller, 1839","Versuch einer naturgemässen Eintheilung der Schaben. Isis Von Oken, 1839, 167–220",,
"Microcraspedus Janse, 1958","Gelechiinae Stainton, 1854","This name is a synonym of Ephysteris Meyrick, 1908",,,,
"Mirificarma Gozmány, 1955","Gelechiinae Stainton, 1854",This name is accepted,"Tinea maculatella Hübner, 1796","Annales Historico-naturales Musei Nationalis Hungarici (S.N.)6: 308, & 309 [keys], 313",,
"Mnesistega Meyrick, 1918",Unassigned,This name is provisionally accepted,,Exotic Microlepidoptera. 2: 4497,,
"Molopostola Meyrick, 1920","Anacampsinae Bruand, 1850",This name is accepted,"Molopostola rufitecta Meyrick, 1920","Exotic Microlepidoptera, 2, 298",,
"Mometa Durrant, 1914","Apatetrinae Meyrick, 1947",This name is accepted,"Mometa zemiodes Durrant, 1914","Bulletin of Entomological Research, 5, 243",,
"Monochroa Heinemann, 1870","Anomologinae Meyrick, 1926",This name is accepted,"Tinea tenebrella Hübner, [1817]",Die Schmetterlinge Deutschlands und der Schweiz (2)2(1): 308,,
"Myconita Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Helcystogramma Zeller, 1877",,,,
"Myrophila Meyrick, 1923","Dichomeridinae Hampson, 1918","This name is a synonym of Dichomeris Hübner, 1818",,,,
"Naera Chambers, 1875",Unassigned,This name is accepted,"Naera fuscocristatella Chambers, 1875",Canadian Entomologist 7: 9,,
"Narthecoceros Meyrick, 1906",Unassigned,This name is provisionally accepted,,Journal of the Bombay Natural History Society. 17: 5541,,
"Nealyda Dietz, 1900","Apatetrinae Meyrick, 1947",This name is accepted,"Nealyda bifidella Dietz, 1900","Entomological News, 11, 350",,
"Neochronistis Park, 1989","Gelechiinae Stainton, 1854","This name is a synonym of Chorivalva M.M. Omelko, 1988",,,,
"Neodactylota Busck, 1903","Gelechiinae Stainton, 1854",This name is accepted,"Dactylota snellenella Walsingham, 1888",Bull. U.S. natn. Mus. 52: 504,,
"Neofaculta Gozmány, 1955","Anacampsinae Bruand, 1850",This name is accepted,"Gelechia infernella Herrich-Schäffer, 1854","Annales Historico-naturales Musei Nationalis Hungarici (S.N.)6: 308, 309 [keys], 312",,
"Neofriseria Sattler, 1960","Gelechiinae Stainton, 1854",This name is accepted,"Lita peliella Treitschke, 1835","Deutsche Entomologische Zeitschrift (N.F.)7: 16, 17 [keys], 48",,
"Neolechia Diakonoff, 1948",Unassigned,This name is accepted,"Neolechia gamma Diakonoff, 1948","Treubia, 19, 189",,
"Neopalpa Povolný, 1998","Gelechiinae Stainton, 1854",This name is accepted,"Neopalpa neonata Povolný, 1998","SHILAP Revista De Lepidopterologia, 26, 141; 235",,
"Neopatetris Janse, 1960","Apatetrinae Meyrick, 1947",This name is accepted,"Neopatetris tenuis Janse, 1960","The Moths of South Africa, 6, 182",,
"Neoschema Povolný, 1967","Gelechiinae Stainton, 1854","This name is a synonym of Gnorimoschema Busck, 1900",,,,
"Neotelphusa Janse, 1958","Gelechiinae Stainton, 1854",This name is accepted,"Telphusa castrigera Meyrick, 1913","The Moths of South Africa, 6, 77",,
"Nevadopalpa Povolný, 1998","Gelechiinae Stainton, 1854",This name is accepted,"Nevadopalpa striata Povolný, 1998","Ent. Abh. Mus. Tierk. Dresden, 58, 120",,
"Nothris Hübner, [1825] 1816","Anacampsinae Bruand, 1850",This name is accepted,"Tinea verbascella [Denis & Schiffermüller], 1775",Verz. bekannter Schmett.: 411,,
