Authors,Year,Title 
"Patočka, J. ",1956,"Doplnky k faunistickemu prieskumu Lepidopter. Biologia, Bratislava 11: 740–750."
"Patočka, J. ",1960,"Dalsie doplnky k faunistike Lepidopter na Slovensku. Biologia, Bratislava 15: 584–593."
"Patočka, J. ",1977,Beitrag zur Kenntnis der Morphologie und Bionomie der mitteleuropaischen Vertreter der Gattung Stenolechia s. l. (Lepidoptera). Z. angew. Ent. 83: 303–311.
"Patočka, J. ",1982,Prispevok k faunistike Lepidopter Slovenska. Ent. Probl. 17: 133–157.
"Patočka, J. ",1987a,"Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera) 1. Teil. Biológia, Bratislava 42: 571–580."
"Patočka, J. ",1987b,"Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera) 2. Teil, Tribus Gelechiini. Acta Entomologica Bohemslovaka 34: 452–468."
"Patočka, J. ",1987c,"Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera) 3. Teil, Tribus Teleiodini und benachbarte Gattungen. Vest. Cs. Spolec. Zool. 51: 286–299."
"Patočka, J. ",1987d,"Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera) 4. Teil, Unterfamilien Chelariinae und Dichomerinae. Biológia, Bratislava 42(10): 965–976."
"Patočka, J. ",1988a,"Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera). Nachtrag zum Teil 1–4. Biológia, Bratislava 43(10): 889–901."
"Patočka, J. ",1988,"Die Puppen der Gattung Anacampsis Curtis (Lepidoptera, Gelechiidae). Stapfia16: 199–207, fig. 1–14."
"Patočka, J. ",1989,Über die Puppen der mitteleuropäischen Gelechiidae (Lepidoptera). 5. Teil. Tribus Gnorimoschemini. Vestn. Ceskoslov. Spolec. Zool. 53: 123–140.
"Patočka, J. ",1990,"Über die Puppen der mitteleuropäischen Lepidoptera (Gelechiidae, Amologinae und Tischeriidae). 2. Nachtrag. Biologia, Bratislava 45(10): 815–826."
"Patočka, J. A. Reiprich, and G. Pastoralis",1989,"Zoznam motyl‚Äôov (Lepidoptera) zistenych alebo ocakavanych na Slovensku (Verzeichnis der in der Slowakei festgestellten oder erwarteten Lepidopteren). Iuxta Danubium, Komarno, 8, 100 pp."
"Pierce, F.N. and J.W. Metcalfe",1935,"The Genitalia of the Tineid Families of Lepidoptera of the British Islands. Oundle, 116 + 22 pp., 68 Tafeln."
"Pierce, F.N. and J.W. Metcalfe",1942,"Psamathocrita argentella sp. nov. (Lep., Gelechiidae) an addition to the British fauna. The Entomologist 75: 255–256."
"Piskunov, V.I.",1972,"To the fauna of Gelechiid moths (Lepidoptera, Gelechiidae) of the Belorussia. Ent. Obozr. 51(3): 595–603 [In Russian]."
"Piskunov, V.I.",1973,The tribe Teleiodini tribus n. (Lepidoptera: Gelechiidae) and systematic position of some included species. Trudy vses ent. Obsch. 56: 184–195 [In Russian].
"Piskunov, V.I.",1975,New data on the Gelechiidae (Lepidoptera) in the European Regions of the USSR. Entomologicheskoe Obozrenie 54: 857–872 [EntomologicalReview 54: 101–109; English translation].
"Piskunov, V.I.",1979,"On the fauna of the gelechiid moths (Lepidoptera, Gelechiidae) of Mongolia and Tuva. In: Nasekomye Mongolii [Insects of Mongolia]. Leningrad 6: 394–403 [In Russian]."
"Piskunov, V.I.",1980,"An addition to the fauna of the gelechiid and anarsiid moths (Lepidoptera, Gelechiidae, Anarsiidae) of Mongolia ana North China. In: Nasekomye Mongolii [Insects of Mongolia]. Leningrad 7: 386–395 [In Russian]."
"Piskunov, V.I.",1987a,"A review of the genus Neofriseria (Lepidoptera, Gelechiidae) with description of a new species from Turkmen SSR. Vestn. Zool. 2: 8–14 [In Russian]."
"Piskunov, V.I.",1987b,"Three new species of gelechiid moths (Lepidoptera, Gelechiidae) from the fauna of the USSR. Zool. Zhurn. 65: 147–150 [In Russian]."
"Piskunov, V.I.",1990a,"[A new Species and Two New Synonyms of the Palaearctic Gelechiid Moths (Lepidoptera, Gelechiidae)]. Faun. Syst. News, Kiev 1990: 95–97 [In Russian]."
"Piskunov, V.I.",1990b,"Gelechiidae, pp. 889–1024. In Medvedev, G.S., et al. (ed.), Keys to the Insects of the European Part of the USSR. IV. Lepidoptera 2. Leningrad. [English translation, 1989, New Delhi: Oxonian Press Pvt. Ltd.]."
"Piskunov, V.I.",1997,[Fauna of Gelechiidae (Lepidoptera) of Byelorussia]. Vestnik Bieloruskogo gosudarstvennogo universiteta 3: 39–45.
"Pitkin, L.M. ",1984,Gelechiid moths of the genus Mirificarma. Bull. Br. Mus. Nat. Hist. (Ent.) 48: 1–70.
"Pitkin, L.M. ",1986,A technique for the preparation of complex male genitalia in Microlepidoptera. Ent. Gaz. 37: 173–179.
"Pitkin, L.M. ",1988,"The Holarctic genus Teleiopsis: host–plants, biogeography and cladistics (Lepidoptera: Gelechiidae). Ent. scand. 19: 143–191."
"Pitkin, L.M. and K. Sattler",1991,Sattleria: a European genus of brachypterous alpine moths (Lepidoptera: Gelechiidae). Bull. Br. Mus. Nat. Hist. (Ent.) 60(2): 205–241.
"Ponomarenko, M.G. ",1989,"A review of moths of the genus Anarsia Z. (Lepidoptera, Gelechiidae) of the fauna of the USSR. Entomologicheskoe Obozrenie 68(3): 628–641 [In Russian]."
"Ponomarenko, M.G. ",1991,"A new genus and new species of gelechiid moths of the subfamily Chelariinae (Lepidoptera, Gelechiidae) from the Far East. Entomologicheskoe Obozrenie 70(3): 600–618 [In Russian]"
"Ponomarenko, M.G. ",1992,"Functional morphological analysis of male genitalia of gelechiid moths of the subfamily Dichomeridinae sensu novo (Lepidoptera, Gelechiidae) and relationships of its tribes. Entomologicheskoe Obozrenie 71: 160–178."
"Ponomarenko, M.G. ",1993a,Dendrophilia gen. n. (Lepidoptera: Gelechiidae) from the Far East with notes on biology of some species of the genus.  Zoological Journal 72: 58–73.
"Ponomarenko, M.G. ",1993b,"Trophic relations of the larvae of the Gelechiid moths from the subfamily Dichomeridinae (Lepidoptera, Gelechiidae) of the fauna of the Russia and adjacent countries. In: Yu. A. Chistyakov (ed.). Chteniya pamyati A.I. Kurentcova. 4: 41–48 [In Russian]."
"Ponomarenko, M.G. ",1994,"Two new species of the genus Dactylethrella Fletcher (Lepidoptera, Gelechiidae) from Russian Far East. Japan Heteroc. J. 176: 7–9."
"Ponomarenko, M.G. ",1995,Review of the genus Capidentalia Park (Lepidoptera: Gelechiidae) with the description of two new species. Actias 2: 45–51.
"Ponomarenko, M.G. ",1997a,"Catalogue of the subfamily Dichomeridinae (Lepidoptera, Gelechiidae) of the Asia. Far Eastern Entomologist 50: 1–67."
"Ponomarenko, M.G. ",1997b,"Phylogeny and taxonomy of the subfamily Dichomeridinae (Lepidoptera, Gelechiidae). ZoosystematicaRossica 6(1/2): 305–314."
"Ponomarenko, M.G. ",1998,"New Taxonomic data on Dichomeridinae (Lepidoptera, Gelechiidae) from the Russian Far East. Far Eastern Entomologist 67: 1–17."
"Ponomarenko, M.G. ",1999,Subfamily Dichomeridinae. In: P.A. Lerh (ed.). Key to the insects of the Russian Far East. Lepidoptera and Trichoptera. 5(2): 194–257 [In Russian].
"Ponomarenko, M.G. ",2004a,"Gelechiid moths (Lepidoptera, Gelechiidae) of the subfamily Dichomeridinae (Lepidoptera, Gelechiidae): functional morphology, evolution and taxonomy. In: S. Yu. Storozhenko (ed.). Chteniya pamyati A.I. Kurentcova, 15: 5–88."
"Ponomarenko, M.G. ",2004b,New synonymy in the Dichomeris Hubner (Lepidoptera: Gelechiidae). TINEA 18(1): 22–29 [In Russian].
"Ponomarenko, M.G. ",2005,"Gelechiid moths (Lepidoptera: Gelechiidae) of the Palaearctic: functional morphology of the male genitalia, phylogeny and taxonomy. Chteniya pamyati N.A. Kholodkovskogo [Meetings in memory of N.A. Cholodkovsky]  (Zoological Institute of Russian Academy Sciences, St. Petersburg) 58: 1–139."
"Ponomarenko, M.G. ",2022,New synonymy in the tribe Anarsiini (Lepidoptera: Gelechiidae: Dichomeridinae). Far Eastern Entomologist 458: 22–28.
"Ponomarenko, M.G. and P. Huemer",2001,"Helcystogramma klimeschi sp. n. (Lepidoptera: Gelechiidae, Dichomeridinae), with notes on related species. Acta Biologica 76(1999): 7–15."
"Ponomarenko, M.G. and W. Mey",2002,"On the type material of the species described by H. Christoph from genus Dichomeris Hubner (Lepidoptera, Gelechiidae). TINEA 17(2): 73–80."
"Ponomarenko, M.G. and M.M. Omelko",2003,"Review of the genus Acanthophila Heinemann, 1870 (Lepidoptera, Gelechiidae). Far Eastern Entomologist 127: 1–24."
"Ponomarenko, M.G. and K.T. Park",1996,"Description of three new species of Dichomeris Hubner (Lepidoptera, Gelechiidae) from Korea and Russian Far East. Korean J. Appl. Entomol. 35(2): 114–118."
"Ponomarenko, M.G. and K.T. Park",2007,Two new species and a new record of Gelechiidae from Korea. Zootaxa 1437: 55–60.
"Ponomarenko, M.G., K.T. Park, and Y.S. Bae",2006,Gelechiidea (Lepidoptera) from Mt. Changbai–shan in China II. J. Asia–Pacific Entomol. 9(2): 107–113.
"Popescu–Gorj, A. ",1984,La liste systematique des especes de Microlepidopteres signalees dans la faune de Roumanie. Mise a jour de leur classification et nomenclature. Trav. Mus. Hist. Nat. ‚ÄúGr. Antipa‚Äù 25: 111–162.
"Povolný, D. ",1964,Gnorimoschemini trib. nov. – eine neue Tribus der Familie Gelechiidae nebst Bemerkungen zu ihrer Taxonomie (Lepidoptera). Acta Entomol. Bohemoslov. 61: 330–359.
"Povolný, D. ",1965,"Neue und wenig bekannte palaearktische Arten und Gattungen der Tribus Gnorimoschemini nebst Bemerkungen zu ihrer Taxonomie (Lepidoptera, Gelechiidae). Acta Entomol. Bohemoslov. 62: 480–495."
"Povolný, D. ",1966,A type revision of some old–world species of the tribe Gnorimoschemini with a special regard to pests (Lepidoptera). Acta Entomol. Bohemoslov. 63: 128–148.
"Povolný, D. ",1967a,"Genitalia of some nearctic and neotropic members of the tribe Gnorimoschemini (Lepidoptera, Gelechiidae). Acta Ent. Mus. Nat. Prag. 37: 51–127."
"Povolný, D. ",1967b,"Ein kritischer Beitrag zur taxonomischen Klarung einigerPalaearktischer Arten der Gattung Scrobipalpa (Lepidoptera, Gelechiidae). Acta Sc. Natur. (Brno) 1: 209–250."
"Povolný, D. ",1968,"Scrobipalpa clintoni sp. nov. (Lepidoptera, Gelechiidae) a surprising discovery from Scotland. Ent. Gaz. 19: 113–118."
"Povolný, D. ",1969,"Bedeutsame faunistische und taxonomische Entdeckungen bei den Scrobipalpa–Arten (Lepidoptera, Gelechiidae) in Mitteleuropa. Z. wien. ent. Ges. 54: 71–78."
"Povolný, D. ",1971,"Zur Fauna der Tribus Gnorimoschemini (Lepidoptera, Gelechiidae) in Nordwestafrika. Acta Entomol. Bohemoslov. 68: 23–44."
"Povolný, D. ",1973,"Egnebnisse der Zoologischen Forschungen von Dr. Z. Kaszab in der Mongolei (Nr. 267) (Tribus Gnorimoschemini, Lepidoptera, Gelechiidae). Acta Sc. Nat. (Brno) 7(2): 1–42."
"Povolný, D. ",1977,"A contribution to the knowledge of the tribe Gnorimoschemini of Far East (Lep., Gelechiidae). Acta Ent. Mus. Nat. Pragae 39: 217–229."
"Povolný, D. ",1978,"Dichomeris (Mimomeris subgen. n.) steueri sp. n. Aug Mittleeuropa (Lepidoptera, Gelechiidae). Acta Musei Moraviae 63: 135–148."
"Povolný, D. ",1979a,"Rhynchopacha patockai sp. n. aus der Tschechoslowakei nebst Bemerkungen zur Taxonomie der Gattung Rhynchopacha Staudinger, 1871 (Lepidoptera, Gelechiidae). Acta Mus. Moraviae 64: 115–126."
"Povolný, D. ",1979b,On some little known moths of the family Gelechiidae (Lepidoptera) as pests of crops. Acta Univ. Agric. (Brno) 27(2): 139–165.
"Povolný, D. ",1979c,"Isophrictini trib. n. nebst Beschreibung von Daltopora felixi gen. n., sp. n. aus der Mongolei (Lepidoptera, Gelechiidae). Acta Entomol. Mus. Natl. Pragae 41: 133–158."
"Povolný, D. ",1980,"Die bisher bekannten Futterpflanzen der Tribus Gnorimoschemini (Lepidoptera, Gelechiidae) und deren Bedeutung fur taxonomisch–okologische Erwagungen. Acta Univ. Agr. Brno 28(1): 189–210."
"Povolný, D. ",1980,"Zur taxonomischen Stellung der Dichomerinae–Gattung Acanthophila Heinemann, 1870 im System der Gelechiidae (Lepidoptera). Folia entomologica Hungarica41: 317–327."
"Povolný, D. ",1982,Zur artspezifischen Indentitat mancher westpalaarktischer Gnorimoschemini (Gelechiidae). Nota Lepid. (Basel) 5: 121–124.
"Povolný, D. ",1983,"Vorl√§ufiges zu einer Revision der Gattungen Isophrictis Meyr. und Pyncostola Meyr. (Lepidoptera, Gelechiidae). Acta Entomologica Musei Nationalis Pragae 41: 133–158."
"Povolný, D. ",1984,"Scrobipalpa (Euscrobipalpa) reiprichi sp. n. (Lepidoptera, Gelechiidae) a surprising discovery from Eastern Slovakia. Acta Entomol. Bohemoslov. 81: 453–457."
"Povolný, D. ",1985,"Gnorimoschema siskiouense sp. n. – a new gelechiid moth from California (Lepidoptera, Gelechiidae). Acta Univeritatis Agriculturae Brno33: 111–114."
"Povolný, D. ",1987,Gnorimoschemini of southern South America III: the scrobipalpoid genera (Lepidoptera: Gelechiidae). Steenstrupia 20: 1–91.
"Povolný, D. ",1988,"Scrobipalpa nitentella (Fuchs, 1902) species revocata und S. indignella (Staudinger, 1879) species bona sowie sonstige irrtumliche Urteile uber die Gattung Scrobipalpa (Lepidoptera, Gelechiidae). Dtsch. Ent. Zeit. (Frankfurt) (n.s.) 35: 369–378."
"Povolný, D. ",1989,"Bemerkungen zur generischen und subgenerischen Bewertung einiger Gnorimoschemini (Insecta, Lepidoptera, Gelechiidae). Reichenbachia (Dresden) 26: 157–167."
"Povolný, D. ",1989,"Gnorimoschemini of southern South America IV: the genera Symmetrischema and Phthorimaea (Lepidoptera, Gelechiidae). Steenstrupia (Copenhagen) 15: 57–104."
"Povolný, D. ",1989,"Two new species of the genus Pseudathrips and some new records on the tribe Gnorimoschemini (Lepidoptera, Gelechiidae) from Middle East. Acta Univ. Agric. (Brno) 37(3–4): 153–162."
"Povolný, D. ",1990,"Zur heutigen Kenntnis von Nahrungspflanzen der Tribus Gnorimoschemini (Lepidoptera, Gelechiidae). Acta Univ. Agric. (Brno) 38(3–4): 191–204."
"Povolný, D. ",1990,"Gnorimoschemini of Peru and Bolivia (Lepidoptera, Gelechiidae). Steenstrupia (Copenhagen) 16: 153–223."
"Povolný, D. ",1991,"Morphologie, Systematik und Phylogenie der Tribus Gnorimoschemini (Lepidoptera, Gelechiidae). Acta Sci. Nat. Acad. Sci. Bohemoslov. (Brno) (n.s.) 25: 1–103."
"Povolný, D. ",1992,"A critical review of the Palaearctic taxa of Gnorimoschema Busck (Lepidoptera, Gelechiidae). Acta Entomol. Bohemoslov. 89: 217–233."
"Povolný, D. ",1993,"Ilseopsis (Euscrobipalpa) parki sp. n., a leaf miner and spinner on Lycium chienese in Korea (Lepidoptera, Gelechiidae). Eur. J. Entomol. 90: 355–358."
"Povolný, D. ",1993,"Zur taxonomie und nomenklatur der amerikanischen gnorimoschemoiden Gattungen Tuta Strand, Tecia Strand, Scrobipalpopsis Povoln√Ω und Keiferia Busck (Insecta: Lepidoptera: Gelechiidae). Reichenbachia Museum f√ºr Tierkunde Dresden 30(1): 85–98."
"Povolný, D. ",1994a,"New taxa and records of Gnorimoschema Busck and Gobipalpa Povoln√Ω from Palaearctic Asia (Lepidoptera, Gelechiidae). Entomol. Fenn. 5: 57–64."
"Povolný, D. ",1994b,"Gnorimoschemini of southern South America VI: identification keys, checklist of Neotropical taxa and general considerations (Lepidoptera, Gelechiidae). Steenstrupia (Copenhagen) 20: 1–42."
"Povolný, D. ",1996,"New taxa and faunistic records of Ilseopsis (Euscrobipalpa) Povoln√Ω and Hedma Dumont from Palaearctic Asia (Lepidoptera, Gelechiidae). Acta Zool. Fennica 200: 19–40."
"Povolný, D. ",1998a,"Nevadopalpa gen. nov. and Neoschema Povoln√Ω, 1967 stat. nov. – two new Nearctic genera of the tribe Gnorimoschemini, with descriptions of three new species. Entomologische Abhanglungen (Dresden) 58(6): 1–12."
"Povolný, D. ",1998b,"Neopalpa gen. n. and Eurysaccoides gen. n. – two new genera of the tribe Gnorimoschemini from California, with the description of three new species (Lepidoptera, Gelechiidae). SHILAP Revista de Lepidopterologia (Madrid) 26: 139–146."
"Povolný, D. ",1998c,"New taxa and faunistic records of the tribe Gnorimoschemini from the Nearctic Region (Lepidoptera, Gelechiidae). Stapfia (Linz) 55: 327–347."
"Povolný, D. ",1998d,"Nevadopalpa albula spec. nov. – a third species of the genus Nevadopalpa Povoln√Ω, 1998, from California (Insecta: Lepidoptera: Gelechiidae). Reichenbachia (Dresden) 32: 313–315."
"Povolný, D. ",1999a,ith descriptions of four new species (Lepidoptera: Gelechiidae). SHILAP Revista de Lepidopterologia (Madrid) 27: 379–391.
"Povolný, D. ",1999b,"Two indigenous Nearctic species of the genus Microcraspedus Janse, 1958 (Lepidoptera: Gelechiidae). SHILAP Revista de Lepidopterologia(Madrid) 413–417."
"Povolný, D. ",2000,Four new Nearctic species of the genus Tuta Strand (Lepidoptera: Gelechiidae). SHILAP Revista de Lepidopterologia (Madrid) 28: 213–225.
"Povolný, D. ",2002,"Iconographia tribus Gnorimoschemini (Lepidoptera, Gelechiidae) Regionis Palaearcticae. 110 pp., 16 colour pls., 87 pls. Bratislava."
"Povolný, D. ",2003,"Description of twenty five new Nearctic species of the genus Gnorimoschema Busck, 1900 (Lepidoptera: Gelechiidae). SHILAP Revista de Lepidopterologia (Madrid) 31: 285–315."
"Povolný, D. ",2004,"Insuloschema barbarae gen. n., sp. n. and two new species of the genus Keiferia Busck, 1939 from California (Lepidopera, Gelechiidae). Acta Universitatis Agriculturae et Silvici Mendelova Brno 52: 15–22."
"Povolný, D. and F. Gregor",1946,Dalsi nove nebo zajimave nalezy Lepidopter z Moravy. Ent. Listy 9: 155–156.
"Povolný, D. and Z. Sustek",1987,Versuch einer numerisch–taxonomischen L√∂sung der phylogenetischen Beziehungen im Rahmen des Gelechioiden tribus Gnorimoschemini (Lepidoptera). Stapfia16: 209–247.
"Powell, J.A. ",1981,Endangered habitats for insects: California coastal sand dunes. Atala 6: 41–55 (1978).
"Powell, J.A. ",1985,"Faunal affinities of the Channel Islands Lepidoptera: a preliminary overview. In A Menke and S. Miller (eds.), Biogeography of the Insects of the California Channel Islands, 61–94. Santa Barbara Nat. Hist. Mus."
"Powell, J.A. ",1994,"Biogeography of Lepidoptera on the California Chennel Islands. In W. Halvorson and G. Maender (eds.), The Fourth California Islands Symposium: Update on the Status of Resources, 449–464. Santa Barbara: Santa Barbara Mus. Nat. Hist."
"Powell, J.A. and D. Povolný",2001,Gnorimoschemine moths of coastal dune and scrub habitats in California (Lepidoptera: Gelechiidae). Holarctic Lepidoptera(Gainsville) 8 (suppl. 1): 1–53.
"Prose, H.",1987,"Kleinschmetterlinge: Wissensstand, Erhebungen und Artenschutzproblematik (Anhang: Artenliste der in Bayern und den angrenzenden Gebieten nachgewiesenen Microlepidoptera). Schriftenreihe Bayer. Landesamt fur Umweltschutz 77: 37–102."
"Real, P.",1994,Contribution a la connaissance des Anarsia de France et de pays limitrophes. Mem. Comite Laiaison Rech. Ecofaun. Jura 12: 1–126.
"Rebel, H.",1901,Famil. Pyralidae–Micropterygidae [sic.]. In: Staudinger and Rebel. Catalogue der Lepidopteren des palaearctischen Faunengebietespt. II. 368 pages. Berlin: Friedlander and Sohn.
"Reiprich, A. ",1972,Verzeichnis der Falterarten aus dem Naturschutzgebiet Slovensky raj und der Umgebung von Spisska Nova Ves (Ergebnisse der Erforschung aus den Jahren 1945–1969). Ent. Probl. 10: 5–105.
"Reiprich, A. ",1977,Doplnky k Prodromu Lepidopter Slovenska. Ent. Probl. 14: 13–69.
"Reiprich, A. ",1983,"Vysledky faunistickeho a ekologicko–bio–nomickeho vyskumu motyl‚Äôov v Slovenskom raji a v okoli Spisskej Novej Vsi rokoch 1978–1980. Zbor. Vychodoslov. Muz., Prir. Vedy, Kosice 23: 241–258."
"Reiprich, A. ",1984,"Zaverecny prispevok o faunistickom a eko logicko–bionomickom vyskume motyl‚Äôov v Slovenskeho raja a okolia Spisskej Novej Vsi. Zbor. Vyshodoslov. Mus. Prir. Vedy, Kosice 25: 95–115."
"Reiprich, A. ",1989,Prirastky motylej fauny na Slovensku v obdobi rokov 1985–1988. Spravy Slov. Ent. Spol. Bratislava 1(3): 1–6.
"Reiprich, A. ",1990,"Prirastky motylej fauny na Slovensku v obdobi rokov 1989. Spravy Slov. ent. spol., Bratislava 2(2): 1–7."
"Reiprich, A. ",1992,"Prirastky motylej fauny na Slovensku v obdobi rokov 1991. Spravy Slov. ent. spol., Bratislava 4(2): 7–14."
"Reiprich, A. ",1993,"Prirastky motylej fauny na Slovensku v obdobi rokov 1992. Spravy Slov. ent. spol., Bratislava 5(3): 13–24."
"Reiprich, A. and I. Okali",1989,"Dodatky k Prodromu Lepidopter Slovenska. Veda, Bratislava 2: 109 pp."
"Reiprich, A. and Z. Tokar",1992,Nove druhy motyl‚Äôov pre oblast‚Äô Slovenskeho raja a okolia Spisskej Novej Vsi z rokov 1989–1991. Ent. Probl. 23: 33–38.
"Reiprich, A., Z. Tokar, and J. Osust",1994,"Nove druhy motyl‚Äôov pre oblast‚Äô Slovenskeho raja a okolia Spisskej Novej Vsi z rokov 1989–1991. Zbor. Vychodoslov. Muz., Prir. Vedy, Kosice 35: 47–62."
"Riedl, T.",1991,"Gelechiidae, In Razowski, J. (ed.), Wykazzwierzat Polski (Checklist of Animals of Poland). Vol. 2, part. 32/26 (Lepidoptera). 19–32. Ossolineum, Wroclaw."
"Robinson, G.S., K.R. Tuck, and M. Shaffer",1976,The preparation of slides of Lepidoptera genitalia with special reference to the Microlepidoptera. Ent. Gaz. 37: 173–179.
"Robinson, G.S., K.R. Tuck, and M. Shaffer",1994,Gelechiidae. In: A Field Guide to the Smaller Moths of South–East Asia. 72–81 pp. Kaula Lumpur.
"Rutten, T. and O. Karsholt",1998,"Bryotropha mundella (Douglas): a new synonym of Bryotropha umbrosella (Zeller) (Lepidoptera, Gelechiidae). Tijdschrift voor Entomologie 141: 109–114."
"Saito, T. 196",1969,"Gelechiidae. In: Issiki S. etal., Early Stages of Japanese Moths in colour . 2: 111–117. Osaka."
"Sakamaki, Y. ",1994,"Monochroa cleodora (Meyrick), comb. n. (Lepidoptera, Gelechiidae) and its allied new species from Japan. Jpn. J. Ent. 62(1): 167–174."
"Sakamaki, Y. ",1994,"Genus Metzneria from Japan (Lepidoptera, Gelechiidae). TINEA 14(1): 69–76."
"Sakamaki, Y. ",1995,"Genera Eulamprotes and Daltopora Povoln√Ω (Lepidoptera, Gelechiidae) from Japan. Jpn. J. Ent. 63(1): 209–219."
"Sakamaki, Y. ",1996a,"Notes on Japanese species of the genus Monochroa with description of two new species (Lepidoptera, Gelechiidae). Jpn. J. Ent. 64(2): 245–254."
"Sakamaki, Y. ",1996b,"A revision of the Japanese species of the genus Monochroa (Lepidoptera, Gelechiidae). Tyo to Ga 47(4): 243–265."
"Sattler, K.",1960,"Generische Gruppierung der europaischen Arten der Sammelgattung Gelechia (Lepidoptera, Gelechiidae). Deut. Ent. Z. (N.F.) 7(1–2): 10–118."
"Sattler, K.",1962,"Die Gattung Xystophora Heinemann, 1876 (Lep., Gelechiidae). Deut. Ent. Z. (N.F.) 9(3/4): 325–331."
"Sattler, K.",1968,"Die Systematische Stellung einiger Gelechiidae (Lepidoptera). Deut. ent. Z. (N.F.) 15: 111–131, figs 1–18."
"Sattler, K.",1973,"A catalogue of the family–group and genus–group names of the Gelechiidae, Holcopogonidae, Lecithoceridae and Symmocidae (Lepidoptera). Bull. Br. Mus. Nat. Hist. Ent. 28: 155–282."
"Sattler, K.",1974,"On Monochroa ferrea (Frey, 1870) and M. conspersella (Herrich–Schaffer, 1854) (Lepidoptera, Gelechiidae). Entomologist‚Äôs Gazette 25: 277–282."
"Sattler, K.",1976,"A taxonomic revision of the genus Ornativalva Gozmany, 1955 (Lepidoptera: Gelechiidae). Bull. Br. Mus. nat. Hist. (Ent.) 34(2): 87–152, 27 pls., 27 fig."
"Sattler, K.",1978,"The identity of the genus Athrips Billberg, 1820 (Lep., Gelechiidae). Dt. ent. Z. (N.F.) 25: 57–61."
"Sattler, K.",1979,"A taxonomic revision of the genus Deltophora Janse, 1950 (Lepidoptera: Gelechiidae). Bulletin of the British Museum of Natural History, Entomology 38 (6): 263–322."
"Sattler, K.",1980a,Generische Gruppierung der europaischen Arten der Sammelgattung Gelechia (Lepidoptera: Gelechiidae). Entomologist‚Äôs Gazette 31: 235–245.
"Sattler, K.",1980b,"Teleiodes wagae (Nowicki, 1860) New to the British List (Lepidoptera: Gelechiidae). Entomologist‚Äôs Gazette 31: 235–245, 2 pls., figs."
"Sattler, K.",1982,"A Review of the Western Palaearctic Gelechiidae (Lepidoptera) associated with Pistacia, Rhus, and Cotinus (Anacardiaceae). Entomologist‚Äôs Gazette 33(1): 13–32."
"Sattler, K.",1986,"Die an Compositen gebundenen Scrobipalpa–Arten des ostlichen Osterreichs (Lepidoptera, Gelechiidae). Ann. Naturhist. Mus. Wien (B) 88/89: 435–456."
"Sattler, K.",1987,"Die an Compositen gebunderen Scrobipalpa–Arten des oestlichen Osterreichs (Lepidotpera, Gelechiidae). Ann. Naturhist. Mus. Wien (B) 88/89: 435–456."
"Sattler, K.",1988,"The systematic status of the genera Ilseopsis Povolny, 1965 and Empista Povolny, 1968 (Lepidoptera, Gelechiidae). Nota Lepid. (Basel) 10: 224–235."
"Sattler, K.",1989,"The taxonomic status of Scrobipalpa klimeschi Povolny, 1967, and Lita pauperella Heinemann, 1870 (Lepidoptera: Gelechiidae). Entomologist‚Äôs Gazette 40: 7–12."
"Sattler, K.",1991,A review of wing reduction in Lepidoptera. Bull. Br. Mus. nat. Hist. (Ent.) 60(2): 243–288.
"Sattler, K.",1999,The systematic position of the genus Bagdadia (Gelechiidae). Nota Lepid. 22(4): 234–240.
"Sattler, K. and A.B. Stride",1989,A new species of Hypatima Hubner (Lepidoptera: Gelechiidae) injurious to Mango trees in East Africa. Bull. ent. Res. 79: 411–420.
"Schutze, K.T.",1931,Die Biologie der Kleinschmetterlinge unter besonderer Berucksichtigung ihrer Nahrpflanzen und Erscheinungszeiten. Frankfurt am Main. 235 pp.
"Simpson, A.N.",1989,"Dichomeris ustalella Fab. (Lep.: Gelechiidae), rediscovered in Britain. Entomologist‚Äôs Record 101: 17–18."
"Sinev, S.Yu. ",1992,On the systematics and phylogeny of the Gelechioidea s.l. (Lepidoptera). Entomologicheskoe Obozrenie 71: 143 – 159. [1993. Entomological Review 72: 10–25. Translation]
"Slamka, F.",1997,"Die Zunslerartigen (Pyraloidea) Mitteleuropas. Bestimmen – Verbreitung – Flugstandort – Lebensweise der Raupen. 2. Auflage, Bratislava, 112 pp."
"Snellen, P.C.",1882,"De Vlinders van Nederland. Microlepidoptera. Leiden. E.J. Brill. 1196 pp., 10 pl."
"Sokoloff, P.A",1983,Teleiodes vulgella (Hubner) on juniper. Entomologist‚Äôs Rec. J. Var. 95: 116.
"Sorhagen, L. ",1886,"Die Kleinschmetterlinge der Mark Brandenburg und einiger angrenzenden Landschaften mit besonderer Berucksichtigung der Berliner Arten, x, 368 pp. Berlin."
"Spuler, A.",1910,Die Schmetterlinge Europas II. Stuttgart: E. Schweizerbart‚Äôsche Verlagsbuchhandlung. 523 pp.
"Stainton, H.T.",1854,"Insecta Britannica. Lepidoptera: Tineina. vii + 313 pp., 10 pls."
"Stainton, H.T.",1865,"The natural history of the Tineina 9, [iv]. 276 pp., 8 col. pls. London."
