Authors,Year,Title 
"Elsner, V., A. Gottwald, M. Janovsky, F. Kopecke, A. Lastuvka, J. Marek, and T. Dufek",1998,"Motyli jihovychodni Moravy 5. dil (The Lepidoptera of Southeastern Moravia 5th part). Sbornik Prirodovedneho klubu v Uherskem Hradisti 5(suppl.), 86 pp."
"Elsner, G., P. Huemer, and Z. Tokar",1999,"Die Palpenmotten (Lepidoptera, Gelechiidae) Mitteleuropas. 208 pp., 113 pls (28 col.). Bratislava."
"Elsner, G., J. Jaros, and K. Spitzer",1988,Faunistic records from Czechoslovakia. Lepidoptera. Acta Entomol. Bohemoslov. 85: 73.
"Elsner, G., F. Krampl, I. Novak, and K. Spitzer",1981,"K poznani Microlepidopter Sumavskych raselinist (Microlepidoptera of the Sumava Mountains peat bogs). Sbor. Jihoces. Muz. v. Ces. Budejovicich, Prir. Vedy 21: 73–88."
"Elsner, V., J. Liska, and Z. Lastuvka",1996,Faunistic records from the Czech Republic – 42. Lepidoptera. Klapalekiana 32: 131–133.
"Emelyanov, I.M. and V.I. Piskunov",1982,"[New data on the fauna of the gelechiid and anarsiid moths (Lepidoptera: Gelechiidae, Anarsiidae) of Mongolia, the USSR and North China]. In Nasekomye Mongolii Insects of Mongolia, Leningrad 8: 366–407 [In Russian]."
"Emmet, A.M.",1988,Teleiodes wagae (Nowicki) (Lepidoptera: Gelechiidae) on Betula. Entomologist‚Äôs Gaz. 39: 76.
"Englert, W.D.",1974,"Revision der Gattung Metzneria Zeller (Lepidoptera, Gelechiide) mit Beitragen zur Biologie der Arten. Z. angew. Ent. 75: 381–421."
"Escherich, K.",1931,"Die Forstinsekten Mitteleuropas. 3, xi + 825 pp. Berlin."
"Fischer von Rolerstamm, J.E. ",1834–41,"Abbildungen zur Berichtigung und Erganzung der Schmetterlingskunde, besonders der Microlepidopterologie, als Supplement zu Treitschke‚Äôs und Hubner‚Äôs europaischen Schmetterlingen, mit erlauterndem Text. 304 pp."
"Fletcher, T.B.",1932,"Life histories of Indian microlepidoptera (second series) Alucitidae (Pterophoridae), Tortricina and Gelechiidae). Imperial Council of Agr. Res. Sci. Monograph 2: 1–58."
"Ford, L.T.",1949,A Guide to the Smaller British Lepidoptera. London. So. London Ent. and Nat. Hist. Soc. 230 pp.
"Freeman, T.N.",1957,Two new species of the genus Recurvaria haw. (Lepidoptera: Gelechiidae). Pan–Pacific Ent. 33(1): 9–13.
"Freeman, T.N.",1960,"Needle mining Lepidoptera of pine in North America. Can Ent. Suppl. 16, 51 pp."
"Freeman, T.N.",1962,A new species of Eucordylea from Spruce (Lepidoptera: Gelechiidae). Can. Ent. 94(10): 1029–1031.
"Freeman, T.N.",1963,Two new species of coniferous needle miners from Louisiana and the description of a new genus (Lepidoptera: Gelechiidae). Can. Ent. 95(7): 727–730.
"Freeman, T.N.",1965,New Canadian species of leaf–mining Lepidoptera of conifers. J. Res. Lep. 4(3): 209–220.
"Freeman, T.N.",1967,A new Nearctic species of Exoteleia Wallengren (Gelechiidae) on pine. J. Lepid. Soc. 21(1): 9–11.
"Furniss, R.L. and V.M. Carolin",1977,"Gelechiidae, pp. 175–180. In Furniss, R.L. and V.M. Carolin (ed.), Western Forest Insects. Miscellaneous publication No. 1339. U.S. Department of Agriculture·Forest Service. Washington D.C."
"Gaede, M.",1937,"Gelechiidae. In Bryk, F. Lepidopterum Catalogus 79: 1–630."
"Gastón, J. and P. Huemer",2022,"Metzneria leae Gastón & Huemer, sp. n., a new species from Spain (Lepidoptera: Gelechiidae)"
"Gastón, J. and A. Vives Moreno",2020,"Contribución al conocimiento de los Lepidoptera de España con la descripción de cuatro nuevas especies para nuestra fauna y otras citas de interés (Insecta: Lepidoptera). SHILAP Revista de lepidopterología 2020,  48(190): 307–324."
"Gastón, J., R. Macià, J. Ylla, and J. Bau",2022,"Análisis del complejo Dichomeris rasilella(Herrich–Schäffer, 1854) y descripciónde una nueva especie para España(Lepidoptera: Gelechiidae). SHILAP Revista de lepidopterología 50(198): 277–288."
"Gerasimov, A.",1929,"Drei neue Arten von Mikrolepidopteren aus der Ukraina. Ann. Mus. Zool. Ac. Sc. URSS 30: 35–38, 2 Taf."
"Goeden, R.D. and D.W. Ricker",1975,"The Phytophagous Insect Fauna of the Ragweed, Ambrosia confertiflora , in Southern California. Environmental Entomology (Lanham) 4: 301–306."
