Gelechiidae species name,GBIF taxonKey,Host Plants
Mirificarma ocellinella ChrÃ©tien,,Retama raetam
Mirificarma ulicinella Staudinger,1852146,Ulex parviflorus; Ulex provincialis
Mometa anthophthora Meyrick,1848036,Dombeya bagshawei; Dombeya emarginata
Mometa chlidanopa Meyrick,1848041,Hibiscus
Mometa cunctatrix Meyrick,,Gossypium; Hibiscus calyphyllus; Hibiscus diversifolius; Hibiscus lunariifolius
Mometa erebodoxa Meyrick,1848040,Gossypium; Hibiscus; Hibiscus diversifolius
Mometa zemiodes Durrant,1848037,Acanthus arboreus; Azanza garckeana; Gossypium; Thespesia
Monochroa absconditella Walker,1846651,Ampelopsis; Fragaria; Parthenocissus quinquefolia quinquefolia; Polygonum; Polygonum punctatum punctatum
Monochroa arundinetella Stainton,1846713,Carex acutiformis
Monochroa conspersella Herrich-SchÃ¤ffer,,Lotus corniculatus; Lysimachia vulgaris
Monochroa cytisella Curtis,1846657,Pteridium; Pteridium aquilinum
Monochroa disconotella Chambers,1846658,Rubus
Monochroa divisella Douglas,1846678,Iris
Monochroa elongella Heinemann,1846645,Potentilla anserina
Monochroa fragariae Busck,1846676,Fragaria
Monochroa hornigi Staudinger,1846643,Polygonum
Monochroa ingravata Meyrick,1846731,Tamarix; Tamarix dioica; Tamarix gallica
Monochroa japonica Sakamaki,11511344,Polygonum thunbergii
Monochroa lucidella Stephens,1846715,Eleocharis palustris
Monochroa lutulentella Zeller,1846691,Filipendula vulgaris
Monochroa melagonella Constant,4528434,Rubia peregrina
Monochroa moyses Uffen,1846675,Scirpus maritimus
Monochroa nigromaculella MilliÃƒÂ¨re,1846668,Hypericum; Hypericum perforatum
Monochroa niphognatha GozmÃ¡ny,,Polygonum amphibium
Monochroa palustrella Douglas,1846683,Rumex crispus
Monochroa palustrellus Douglas,1846683,Rumex
Monochroa rebeli Hering,1846680,Rumex lunaria
Monochroa rhenanella Heydenreich,1846712,Calystegia sepium
Monochroa rumicetella Hofmann,1846696,Rumex acetosella
Monochroa scutatella MÃ¼ller-Rutz,,Rumex scutatus
Monochroa servella Zeller,1846694,Primula; Primula laurentiana
Monochroa tenebrella Hubner,1846729,Rubus; Rumex acetosella
Monochroa tetragonella Stainton,1846670,Glaux maritima
Myconita lipara Bradley,1852445,Ipomoea batatas; Merremia peltata
Myconita plutelliformis Snellen,1852444,Ipomoea aquatica; Ipomoea batatas
Nealyda bifidella Dietz,1848238,Mirabilis nyctaginea
Nealyda kinzelella Busck,1848237,Guapira obtusata
Nealyda phytolaccae Clarke,1848229,Phytolacca americana
Nealyda pisoniae Busck,1848235,Pisonia aculeata
Neofaculta ericetella Geyer,1848669,Calluna; Calluna vulgaris; Erica; Erica cinerea; Rhododendron
Neofaculta infernella Herrich-SchÃ¤ffer,,Betula; Ledum palustre; Rhododendron; Vaccinium
Neofriseria peliella Treitschke,1851203,Rumex acetosella
Neofriseria singula Staudinger,1851209,Rumex acetosella
Neotelphusa praefixa Braun,1846329,Vaccinium pallidum
Neotelphusa querciella Chambers,1846335,Quercus; Quercus alba; Quercus rubra
Nothris congressariella Bruand,1849479,Scrophularia lucida; Scrophularia scorodonia
Nothris verbascella Denis & Schiff.,,Verbascum
Nothris verbascella Hubner,1849477,Verbascum; Verbascum pulverulentum; Verbascum thapsus
Nuntia incognitella (Caradja),10464250,Quercus serrata
Oecocecis guyonella GuenÃ©e,,Limoniastrum guyonianum
Ornativalva,,Tamarix; Tamarix aphylla; Tamarix dioica
Ornativalva erubescens Walsingham,1846439,Tamarix aphylla
Ornativalva heluanensis Debski,1846393,Frankenia hirsuta; Tamarix; Tamarix aphylla; Tamarix salina; Tamarix smyrnensis
Ornativalva indica Sattler,1846416,Tamarix aphylla; Tamarix dioica; Tamarix dioica
Ornativalva macrosignella Sattler,1846420,Tamarix aphylla
Ornativalva nr. serratisignella Sattler,,Tamarix dioica
Ornativalva plutelliformis Staudinger,1846436,Tamarix; Tamarix aphylla; Tamarix dioica; Tamarix gallica; Tamarix salina; Tamarix smyrnensis
Ornativalva rufipuncta Sattler,1846412,Tamarix passerinoides
Ornativalva sesostrella Rebel,1846395,Tamarix
Ornativalva sieversi Staudinger,1846433,Tamarix
Ornativalva tamariciella Zeller,1846407,Tamarix; Tamarix dioica; Tamarix gallica; Tamarix gallica
Ornativalva zonella ChrÃ©tien,,Tamarix
Palumbina glaucitis Meyrick,5121974,Anacardium occidentale; Buchanania; Buchanania arborescens; Mangifera; Mangifera indica; Pistacia
Palumbina guerinii Stainton,9546514,Pistacia; Pistacia terebinthus; Pistacia vera
Parachronistis albiceps Zeller,1847956,Corylus; Malus pumila; Prunus; Prunus persica; Pyrus; Ulmus
Paralida balanaspis Meyrick,,Melia azedarach
Paralida triannulata Clarke,1849296,Melia japonica
Parapodia sinaica Frauenfeld,1848841,Tamarix; Tamarix gallica; Tamarix kotschyi
Pectinophora endema Common,5121980,Hibiscus
Pectinophora gossypiella Saunders,5121979,Abelmoschus esculentus; Abelmoschus moschatus; Abutilon; Abutilon megapotamicum; Abutilon pictum; Abutilon tiubae; Alcea rosea; Cassine; Cochlospermum regium; Corchorus; Corchorus olitorius; Gossypium; Gossypium arboreum; Gossypium barbadense; Gossypium herbaceum; Gossypium hirsutum; Gossypium thurberi; Gossypium tomentosum; Hibiscadelphus hualalaiensis; Hibiscus; Hibiscus bifurcatus; Hibiscus brackenridgei; Hibiscus cannabinus; Hibiscus furcellatus var. youngianus; Hibiscus rosa-sinensis; Hibiscus sabdariffa; Hibiscus tiliaceus; Medicago sativa; Montezuma speciosissima; Sida cordifolia; Thespesia danis; Thespesia lampas; Thespesia populnea; Waltheria americana
Pectinophora scutigera Holdaway,5121981,Gossypium; Hibiscus; Hibiscus tiliaceus; Thespesia populnea
Pectinophora spp.,,Gossypium
Peucoteles herpestica Meyrick,1847965,Pinus kesiya; Pinus khasya
Pexicopia malvella Hubner,1846604,Alcea; Alcea rosea; Althaea; Althaea officinalis; Gossypium
Phloeocecis cherregella ChrÃ©tien,,Fagonia; Fagonia sinaica
Phthorimaea operculella Zeller,1852118,Brugmansia arborea; Capsicum annuum; Coffea; Datura; Datura fastuosa; Datura stramonium; Eugenia cumini; Lycopersicon; Lycopersicon esculentum; Lycopersicon esculentum esculentum; Nicandra; Nicotiana; Nicotiana alata; Nicotiana glauca; Nicotiana glutinosa; Nicotiana langsdorfii; Nicotiana nudicaulis; Nicotiana paniculata; Nicotiana rustica; Nicotiana sylvestris; Nicotiana tabacum; Physalis; Physalis brasiliensis; Physalis peruviana; Physalis pruinosa; Physalis viscosa; Pimenta dioica; Solanum; Solanum capsicoides; Solanum carolinense; Solanum dulcamara; Solanum melongena; Solanum paniculatum; Solanum racemiflorum; Solanum sisymbriifolium; Solanum torvum; Solanum tuberosum; Typha latifolia; Zea mays
Physoptila pinguivora Meyrick,1847992,Planchonia valida
Physoptila scenica Meyrick,1847991,Planchonia careya
Pityocona xeropis Meyrick,1847578,Oryza sativa
Platyedra,,Gossypium
Platyedra sp.,,Acanthus arboreus; Dombeya bagshawei; Gossypium
Platyedra subcinerea Haworth,1850781,Alcea rosea; Althaea nudiflora; Althaea officinalis; Gossypium; Gossypium thurberi; Lavatera arborea; Malva sylvestris
Pogochaetia solitaria Staudinger,4528101,Lychnis; Saponaria ocymoides
Polyhymno,,Nephelium lappaceum
Polyhymno acaciella Busck,1851828,Acacia farnesiana
Polyhymno alcimacha Meyrick,1851843,Acacia catechu
Polyhymno chionarcha Meyrick,1851861,Acacia tomentosa
Polyhymno luteostrigella Chambers,1851845,Acacia farnesiana; Chamaecrista fasciculata
Polyhymno luteostrigella  Chambers,,Cassia
Prolita puertella Busck,1848942,Chenopodium
Prolita sexpunctella Fabricius,1848920,Calluna; Empetrum
Prolita solutella Zeller,1848950,Genista; Genista pilosa; Genista tinctoria
Prolita variabilis Busck,1848933,Ericameria linearifolia
Prostomeus brunneus Busck,1849298,Psidium cymosum; Psidium guajava
Psamathocrita argentella Pierce & Metc.,,Elymus pycnanthus
Psamathocrita osseella Stainton,1849096,Origanum
Pseudochelaria arbutina Keifer,1848211,Arbutus menziesii; Arctostaphylos
Pseudochelaria manzanitae Keifer,1848214,Arctostaphylos; Arctostaphylos patula
Pseudochelaria scabrella Busck,1848210,Arctostaphylos
Pseudochelaria walsinghami Dietz,1848213,Rhus; Rhus typhina
Pseudotelphusa acrobrunella Park,1850503,Quercus; Quercus mongolica; Quercus serrata
Pseudotelphusa amelanchierella Braun,1850505,Amelanchier canadensis
Pseudotelphusa belangerella Chambers,1850507,Alnus
Pseudotelphusa betulella Busck,1850508,Betula; Betula nigra
Pseudotelphusa danilevskyi Piskunov,,Pistacia vera
Pseudotelphusa fuscopunctella Clemens,1850487,Quercus
Pseudotelphusa incana Hodges,1850500,Malus; Malus pumila
Pseudotelphusa palliderosacella Chambers,1850481,Quercus
Pseudotelphusa quercinigracella Chambers,10489775,Quercus; Quercus nigra
Pseudotelphusa tessella Hubner,1850497,Berberis vulgaris
Psoricoptera gibbosella Zeller,1848150,Carpinus; Cornus controversa; Crataegus; Juglans mandshurica; Malus; Malus pumila; Padus; Quercus; Quercus acutissima; Quercus crispula; Quercus dentata; Quercus ilex; Quercus serrata; Salix; Salix rorida
Psoricoptera triorthias Meyrick,,Quercus cerris; Quercus variabilis
Ptocheuusa abnormella Herrich-SchÃ¤ffer,,Inula ensifolia
Ptocheuusa asterisci Walsingham,1848200,Asteriscus mauritanicus
Ptocheuusa inopella Zeller,1848207,Helichrysum
Ptocheuusa paupella Zeller,1848202,Centaurea nigra; Inula; Inula crithmoides; Mentha; Pulicaria
Ptycerata sp.,,Artemisia californica
Recurvaria,,Austroeupatorium inulaefolium; Mikania micrantha
Recurvaria ceanothiella Braun,1848606,Ceanothus oliganthus; Ceanothus oliganthus sorediatus; Ceanothus thyrsiflorus
Recurvaria chalybeichroa Walsingham,1848592,Acacia nilotica
Recurvaria consimilis Braun,1848591,Ceanothus americanus
Recurvaria eromene Walsingham,,Bromelia pinguin
Recurvaria francisca Keifer,1848594,Ceanothus oliganthus sorediatus; Ceanothus thyrsiflorus
Recurvaria glinax Hodges MS,11766498,Quercus agrifolia; Quercus lobata
Recurvaria leucatella Clerck,1848596,Crataegus; Cydonia oblonga; Malus; Malus pumila; Mespilus germanica; Prunus; Prunus persica; Pyrus
Recurvaria nanella Denis & Schiff.,,Carpinus betulus; Corylus; Cotoneaster horizontalis; Crataegus; Crataegus parvifolia; Cydonia oblonga; Malus; Malus pumila; Pinus; Prunus; Prunus armeniaca; Prunus avium; Prunus domestica; Prunus dulcis; Prunus mahaleb; Prunus persica; Prunus spinosa; Prunus vulgaris; Pyrus; Pyrus communis
Recurvaria ochrospila Meyrick,,Desmodium oojeinense
Recurvaria sp.,,Pinus kesiya; Pinus markusii; Quercus dumosa; Quercus vacciniifolia X chrysolepis; Quercus wislizeni
Rifseria fuscotaeniella Chambers,10885351,Anaphalis margaritacea; Gnaphalium
Schistonoea fulvidella Walsingham,1847890,Bromelia pinguin
Schneidereria pistaciella Weber,4527938,Pistacia; Pistacia vera
Schneidereria pistaciicola Danilevsky,1851657,Pistacia; Pistacia vera
Schneidereria platyphracta Meyrick,1851655,Lannea coromandelica
Sclerocecis pulverosella ChrÃ©tien,,Limoniastrum guyonianum
Scodes deflecta Busck,1850766,Cienfuegosia thespesioides; Gossypium thurberi
Scrobipalpa acuminatella Sircom,1849945,Carduus; Centaurea; Cirsium
Scrobipalpa artemisiella Treitschke,1849966,Thymus; Thymus praecox
Scrobipalpa atriplex Busck,1849867,Atriplex canescens
Scrobipalpa atriplicella Fischer v. RÃ¶sl.,,Aster; Atriplex; Beta vulgaris; Chenopodium; Chenopodium album; Chenopodium murale; Chenopodium quinoa; Sarcobatus vermiculatus
Scrobipalpa blapsigona Meyrick,1849913,Solanum melongena
Scrobipalpa brahmiella Heyden,4528213,Jurinea
Scrobipalpa chrysanthemella Hofmann,1849739,Leucanthemum vulgare
Scrobipalpa clintoni Povolny,1849717,Rumex crispus
Scrobipalpa costella Westwood,1849897,Solanum dulcamara
Scrobipalpa disjectella Staudinger,1849761,Artemisia barrelieri; Artemisia campestris
Scrobipalpa ergasima Meyrick,1849690,Lycopersicon esculentum; Solanum; Solanum erianthum; Solanum incanum; Solanum melongena; Solanum torvum
Scrobipalpa gallicella Constant,1849782,Artemisia caerulescens gallica
Scrobipalpa gallincolella Mann,,Tamarix
Scrobipalpa gecko Walsingham,1849977,Anabasis articulata
Scrobipalpa halonella Herrich-SchÃ¤ffer,,Artemisia absinthium
Scrobipalpa halymella MilliÃƒÂ¨re,1849756,Atriplex halimus
Scrobipalpa heliopa Lower,1849695,Datura; Nicotiana; Nicotiana rustica; Nicotiana tabacum; Solanum; Solanum dubium; Solanum melongena
Scrobipalpa hyoscyamella Stainton,1849911,Hyoscyamus albus; Hyoscyamus muticus
Scrobipalpa incola Meyrick,1849873,Solanum; Solanum melongena
Scrobipalpa instabilella Douglas,1849815,Atriplex vestita appendiculata; Halimione
Scrobipalpa lyciella Walsingham,,Lycium ferocissimum
Scrobipalpa marina Meyrick,,Stackhousia spathulata
Scrobipalpa mongoloides Povolny,1849878,Halogeton glomeratus
Scrobipalpa monochromella Constant,1849855,Limonium vulgare
Scrobipalpa montanella ChrÃ©tien,,Anthyllis montana
Scrobipalpa monumentella Chambers,1849817,Frankenia salina
Scrobipalpa murinella Duponchel,1849806,Antennaria dioica
Scrobipalpa nitentella Fuchs,1849742,Atriplex nitens; Chenopodium; Suaeda maritima
Scrobipalpa obsoletella Fischer v. RÃ¶sl.,,Atriplex; Chenopodium; Chenopodium murale
Scrobipalpa ocellatella Boyd,1849924,Beta vulgaris; Beta vulgaris maritima; Camphorosma monspeliaca
Scrobipalpa ochraceella ChrÃ©tien,,Echinops spinosus
Scrobipalpa omachella ChrÃ©tien,,Salicornia fruticosa
Scrobipalpa pauperella Heinemann,1849959,Centaurea; Cirsium
Scrobipalpa phagnalella Constant,1849871,Phagnalon saxatile
Scrobipalpa plantaginella Stainton,1849710,Plantago coronopus; Plantago maritima
Scrobipalpa salinella Zeller,1849795,Aster; Aster tripolium; Salicornia; Spergularia; Spergularia azorica; Suaeda
Scrobipalpa salsolella Amsel,,Salsola orientalis
Scrobipalpa samadensis Pfaffenzeller,1849758,Plantago coronopus; Plantago maritima
Scrobipalpa scutellariaeella Chambers,1849976,Scutellaria; Scutellaria lateriflora
Scrobipalpa sp. A,,Artemisia douglasiana
Scrobipalpa sp. B,,Solidago canadensis
Scrobipalpa stangei Hering,1849779,Triglochin
Scrobipalpa suaedella Richardson,1849755,Suaeda vera
Scrobipalpa suaedivorella ChrÃ©tien,,Suaeda
Scrobipalpa suasella Constant,1849960,Staehelina dubia
Scrobipalpa traganella ChrÃ©tien,,Bassia; Salsola; Traganum
Scrobipalpa voltinella ChrÃ©tien,,Tanacetum corymbosum
Scrobipalpa xerophylla Meyrick,,Atriplex nummularia
Scrobipalpopsis petasitis Pfaffenzeller,1846477,Petasites paradoxus
Scrobipalpopsis solanivora Povolny,4528081,Solanum tuberosum
Scrobipalpopsis tetradymiella Busck,10101635,Tetradymia canescens
Scrobipalpula absoluta Meyrick,,Datura stramonium; Lycopersicon; Lycopersicon esculentum; Nicotiana; Saccharum officinarum; Solanum gracilius; Solanum melongena; Solanum tuberosum
Scrobipalpula artemisiella Kearfott,1848836,Artemisia; Artemisia campestris borealis; Chenopodium album; Helianthus; Helianthus annuus; Solidago
Scrobipalpula daturae Zeller,1848806,Datura
Scrobipalpula erigeronella Braun,1848787,Erigeron speciosus
Scrobipalpula ilyella Zeller,11896737,Nicotiana
Scrobipalpula isochlora Meyrick,1848811,Solanum quitoense; Solanum saponaceum
Scrobipalpula lutescella Clarke,1848804,Castilleja; Castilleja lutescens
Scrobipalpula polemoniella Braun,1848834,Polemonium reptans
Scrobipalpula potentella Keifer,1848823,Horkelia californica
Scrobipalpula psilella-group sp. A,,Anaphalis margaritacea; Gnaphalium; Pseudognaphalium stramineum
Scrobipalpula psilella-group sp. B,,Heterotheca sessiliflora bolanderi
Scrobipalpula psilella Herrich-SchÃ¤ffer,,Artemisia campestris; Artemisia maritima; Helichrysum
Scrobipalpula sacculicola Braun,1848797,Solidago
Scrobipalpula tussilaginis Frey,1848766,Tussilago farfara
Semnostoma barathrota Meyrick,1849522,Lagerstroemia speciosa; Syzygium cumini
Semophylax apicepuncta Busck,1848249,Bombax ceiba; Ceiba pentandra; Ceiba thonningii
Sinoe robiniella Fitch,1847868,Amorpha fruticosa; Robinia; Robinia pseudoacacia
Sinoe sp.,,Quercus coccinea/rubra
Sitotroga cerealella Olivier,1849209,Avena sativa; Cajanus; Oryza sativa; Pennisetum; Pennisetum glaucum; Secale cereale; Sorghum; Sorghum bicolor; Sorghum bicolor arundinaceum; Sorghum bicolor bicolor; Triticum; Triticum aestivum; Zea; Zea mays
Sophronia,,Tamarix dioica
Sophronia chilonella Treitschke,1849998,Artemisia; Gnaphalium
Sophronia grandii Hering,1849993,Triticum
Sophronia humerella Denis & Schiff.,,Artemisia campestris; Lavandula
Sophronia santolinae Staudinger,1849988,Santolina chamaecyparissus; Santolina rosmarinifolia
Sophronia semicostella Hubner,1850008,Anthoxanthum odoratum
Sophronia sicariella Zeller,7731643,Artemisia campestris
Stegasta bosqueella Chambers,1846849,Ananas comosus; Arachis hypogaea; Cassia ferruginea; Chamaecrista fasciculata; Dalea pinnata; Senna corymbosa; Stylosanthes; Zornia
Stegasta bosquella costipunctella MÃ¶schler,,Cassia
Stegasta capitella Fabricius,1846860,Arachis hypogaea
Stegasta variana Meyrick,1846858,Arachis hypogaea; Bertholletia excelsa; Cassia; Cassia fistula; Chamaecrista mimosoides; Jasminum; Mimosa pudica; Senna obtusifolia; Shorea robusta
Stenolechia bathrodyas Meyrick,1852417,Cupressus; Juniperus
Stenolechia gemmella Linnaeus,1852430,Quercus
Stenolechia kodamai Okada,1852425,Quercus variabilis
Stenolechia notomochla Meyrick,1852421,Dendrophthoe glabrescens; Quercus acutissima
Stenolechia trichaspis Meyrick,,Picea abies
Stenovalva disclusa Meyrick,5122032,Rhus
Stereomita andropogonis Braun,1850690,Andropogon; Schizachyrium scoparium
Sterrhostoma heterogastra Meyrick,1850757,Limonia elephantum
Stomopteryx adenocarpella Hering,,Adenocarpus viscosus
Stomopteryx deverrae Walsingham,1849558,Pituranthos scoparius
Stomopteryx isoscelixantha Lower,,Echium; Heliotropium
Stomopteryx linella ChrÃ©tien,,Linum campanulatum; Linum narbonense
Stomopteryx nigricella ChrÃ©tien,,Medicago sativa
Stomopteryx schizogynae Walsingham,1849561,Schizogyne obtusifolia
Stomopteryx simplexella Walker,,Glycine; Glycine max; Psoralea; Trifolium
Stomopteryx sphenodoxa Meyrick,,Crotalaria
Symmetrischema borsaniella KÃ¶hler,,Capsicum annuum
Symmetrischema capsica Bradley & Pov.,,Capsicum; Capsicum annuum
Symmetrischema capsicivorum Povolny,1850159,Capsicum annuum
Symmetrischema dulce Povolny,1850163,Capsicum; Capsicum annuum frutescens
Symmetrischema kendallorum Blanchard & Knu.,,Physalis virginiana
Symmetrischema lavernella Chambers,1850146,Physalis; Physalis viscosa
Symmetrischema striatella Murtfeldt,1850184,Solanum; Solanum americanum; Solanum douglasii; Solanum furcatum; Solanum nigrum; Solanum torvum
Symmetrischema tangolias Gyen,1850156,Capsicum; Capsicum annuum; Lycopersicon; Lycopersicon esculentum; Solanum; Solanum muricatum; Solanum nigrum; Solanum tuberosum
Symmoca rosmarinella Walsingham,1845886,Rosmarinus officinalis
Symmoca signatella Herrich-SchÃ¤ffer,,Ulmus
Syncopacma,,Carthamus tinctorius
Syncopacma acanthyllidis Walsingham,5121935,Anthyllis tragacanthoides; Argyrolobium
Syncopacma adversa Braun,5121956,Orbexilum onobrychis
Syncopacma albipalpella Herrich-SchÃ¤ffer,,Genista anglica
Syncopacma captivella Herrich-SchÃ¤ffer,,Cytisus scoparius
Syncopacma cinctella Clerck,5121941,Genista; Lotus
Syncopacma coronillella Treitschke,,Coronilla
Syncopacma crotalariella Busck,,Crotalaria pumila
Syncopacma genistae Walsingham,5121950,Genista canariensis
Syncopacma larseniella GozmÃ¡ny,,Lotus pedunculatus
Syncopacma metadesma Meyrick,,Lupinus chamissonis
Syncopacma nigrella Chambers,,Lupinus; Lupinus albifrons; Lupinus chamissonis; Lupinus versicolor
Syncopacma palpilineella Chambers,,Coronilla varia; Trifolium; Trifolium pratense
Syncopacma sangiella Stainton,5121955,Lotus; Lotus corniculatus
Syncopacma suecicella Wolff,5121930,Genista pilosa
Syncopacma taeniolella Zeller,5121915,Lotus; Lotus corniculatus; Medicago; Trifolium
Syncopacma thaumalea Walsingham,8902993,Astragalus gombo; Lotus sessilifolius
Syncopacma vinella Bankes,5121933,Coronilla varia; Genista tinctoria
Syrmadaula automorpha Meyrick,,Elaeis guineensis
Taygete eromene Walsingham,1846481,Bromelia pinguin
Taygete gallaegenitella Clemens,1846493,Quercus
Taygete parvella Fabricius,1846485,Ananas comosus
Tecia mendozella Kieffer & JÃ¶rg.,,Baccharis serrulata
Teleiodes,,Tamarix dioica; Tamarix gallica
Teleiodes alburnella Zeller,11023645,Betula
Teleiodes cisti Stainton,1850240,Cistus albidus; Cistus salviifolius
Teleiodes decorella Haworth,9529245,Cornus; Pistacia; Quercus; Quercus ilex
Teleiodes fugitivella Zeller,10900900,Ulmus
Teleiodes luculella Hubner,1850246,Quercus; Quercus robur
Teleiodes myricariella Frey,10934660,Myricaria germanica; Tamarix; Tamarix aphylla; Tamarix aphylla
Teleiodes notatella Hubner,11021373,Salix; Salix caprea
Teleiodes nr. myricariella Frey,,Tamarix aphylla
Teleiodes paripunctella Thunberg,11090173,Myrica; Quercus; Quercus variabilis
Teleiodes proximella Hubner,10927977,Alnus glutinosa; Betula
Teleiodes saltuum Zeller,1850265,Larix
Teleiodes sequax Haworth,1850267,Helianthemum; Helianthemum canum; Helianthemum nummularium
Teleiodes sp. 1,,Quercus acutissima; Quercus serrata; Quercus variabilis
Teleiodes sp. 2,,Quercus acutissima; Quercus serrata; Quercus variabilis
Teleiodes sp. 3,,Quercus acutissima; Quercus serrata; Quercus variabilis
Teleiodes sp. 4,,Quercus acutissima
Teleiodes thomeriella ChrÃ©tien,,Prunus spinosa
Teleiodes vulgella Hubner,1850238,Cotoneaster horizontalis; Crataegus; Juniperus; Prunus; Prunus spinosa
Teleiodes wagae Nowicki,1850256,Betula; Corylus
Teleiopsis brevivalva Pitkin,1849642,Juglans regia
Teleiopsis diffinis Haworth,1849630,Rumex acetosella
Teleiopsis lunariella Walsingham,1849638,Rumex lunaria
Teleiopsis terebinthinella Herrich-SchÃ¤ffer,,Pistacia; Pistacia terebinthus
Telephila schmidtiellus Heyden,1846302,Origanum
Telphusa,,Duabanga moluccana; Durio zibethinus
Telphusa atomatma Meyrick,5121889,Tamarix dioica
Telphusa brucinella Mann,,Tamarix; Tamarix aphylla
Telphusa chloroderces Meyrick,5121906,Prunus persica
Telphusa cistiflorella Constant,5121894,Cistus albidus
Telphusa euryzeucta Meyrick,5121899,Prunus persica
Telphusa improvida Meyrick,5121890,Lannea coromandelica
Telphusa inferialis Meyrick,12106138,Shorea robusta
Telphusa latifasciella Chambers,5121858,Quercus; Quercus coccinea/rubra; Vaccinium
Telphusa longifasciella Clemens,5121847,Rhus typhina
Telphusa melanozona Meyrick,5121907,Euphorbia neriifolia; Euphorbia nivulia
Telphusa modesta Danilevsky,,Pistacia; Pistacia vera
Telphusa necromantis Meyrick,5121842,Quercus acutissima; Quercus serrata; Quercus variabilis
Telphusa pistaciae Sattler,5121896,Pistacia; Pistacia vera
Telphusa quercicola Park,5121872,Quercus acutissima
Telphusa sarcochroma Walsingham,5121887,Rhus dioica
Telphusa sedulitella Busck,5121885,Ceanothus; Corylus; Lithocarpus densiflorus; Quercus agrifolia; Quercus chrysolepis; Quercus douglasii; Quercus dumosa; Quercus garryana; Quercus kelloggii; Quercus lobata; Quercus turbinella; Quercus wislizeni; Salix
Telphusa sp.,,Myrica californica; Quercus bicolor
Telphusa sp. 1,,Quercus acutissima; Quercus serrata; Quercus variabilis
Telphusa tetragrapta Meyrick,5121839,Quercus incana
Telphusa xyloptera Meyrick,5121863,Polygonum
Theisoa constrictella Zeller,1850673,Ulmus; Ulmus americana; Ulmus thomasii
Theisoa pallidochrella Chambers,1850674,Gleditsia
Thiotricha coleella Constant,1852264,Phillyrea angustifolia
Thiotricha godmani Walsingham,1852304,Mangifera indica
Thiotricha nr. scioplecta Meyrick,,Terminalia catappa
Thiotricha nr. tethela Bradley,,Terminalia calamansanai
Thiotricha oleariae Hudson,1852234,Olearia solandri
Thiotricha parthenica Meyrick,1852248,Grevillea speciosa
Thiotricha sp. 1,,Lumnitzera racemosa
Thiotricha sp. 2,,Pemphis acidula
Thiotricha subocellea Stephens,1852311,Mentha aquatica; Origanum
Thiotricha syncentritis Meyrick,1852254,Terminalia javanica
Thiotricha tetraphala Meyrick,1852288,Leptospermum scoparium
Thiotricha thorybodes Meyrick,1852279,Muehlenbeckia
Thiotricha trapezoidella (Caradja),1852270,Platycarya strobilacea
Thiotricha tylephora (Meyrick),1852252,Platycarya strobilacea
Thyrsostoma pylartis Meyrick,6133385,Quercus myrsinifolia
Tila capsophilella ChrÃ©tien,,Gypsophila repens
Tildenia altisolani Keifer,,Solanum xanti
Tildenia georgei Hodges,5121998,Physalis heterophylla
Tildenia glochinella Zeller,,Lycopersicon; Solanum; Solanum carolinense; Solanum melongena; Solanum tuberosum
Tildenia gudmannella Walsingham,,Capsicum; Capsicum annuum; Capsicum frutescens; Solanum
Tildenia inconspicuella Murtfeldt,,Solanum carolinense
Tosca plutonella Heinrich,1846279,Prunus
Trichotaphe sp.,,Coffea; Inga vera
Trypanisma prudens Clemens,1851318,Fagus; Quercus; Quercus velutina
Tuta atriplicella Kieffer & JÃ¶rg.,,Atriplex lampa
Vladimirea zygophyllivorella Kuznetsov,1848168,Zygophyllum atriplicoides; Zygophyllum gontscharovii
Xenolechia aethiops Humphreys & Wstw,1849492,Erica; Erica cinerea
Xenolechia querciphaga Keifer,1849490,Quercus; Quercus douglasii; Quercus dumosa; Quercus garryana; Quercus kelloggii; Quercus turbinella; Quercus wislizeni
Xenolechia quinquecristatella Chambers,,Vaccinium
Xenolechia sp.,,Quercus coccinea/rubra; Salix
Xenolechia staspa Hodges MS,,Quercus agrifolia; Quercus dumosa; Quercus garryana; Quercus lobata; Quercus wislizeni
Xystophora carchariella Zeller,1851620,Vicia cassubica; Vicia pisiformis
Xystophora psammitella Snellen,1851619,Lespedeza; Lespedeza bicolor
Xystophora pulveratella Herrich-SchÃ¤ffer,,Coronilla; Coronilla varia; Lotus; Medicago
Zizyphia cleodorella ChrÃ©tien,,Prunus persica; Ziziphus
Zizyphia zizyphella Amsel,1849509,Ziziphus spina-christi; Acer tataricum ginnala; Baccharis macrantha; Baccharis nebularis; Brassica oleracea; Castilleja affinis; Cerastium pauciflorum; Chamaecrista nictitans subsp. nictitans; Coffea quillou - delete; Cullen corylifolium; Daemonorops angustifolia; Eriophyes - delete; Gouldia terminalis var. macrocarpa; Halothamnus glaucus; Juglans ailantifolia; Lepisanthes rubiginosa; Lessingia filaginifolia var. californica; Lupinus sericeus subsp. sericeus; Manilkara capensis - delete; Mikania trinitaria; Plantago neumannii; Polistes (Z) annularis - delete; Polistes (Z) canadensis - delete; Sapindus mukorossi; Tamarix androssowii; (blank)
