Gelechiidae species name,GBIF taxonKey,Host Plants
Coleotechnites atrupictella Dietz,1851462,Abies balsamea; Abies grandis; Abies lasiocarpa; Picea glauca; Picea mariana; Picea rubens; Picea sitchensis; Pinus contorta; Pinus engelmannii; Pinus ponderosa; Pseudotsuga menziesii; Tsuga heterophylla
Coleotechnites australis Freeman,1851452,Juniperus; Juniperus virginiana
Coleotechnites bacchariella Keifer,1851443,Baccharis pilularis
Coleotechnites biopes Freeman,1851434,Pinus contorta
Coleotechnites blastovora McLeod,1851426,Picea; Picea glauca
Coleotechnites canusella Freeman,1851418,Picea mariana; Pinus banksiana; Pinus contorta; Pinus engelmannii
Coleotechnites carbonaria Freeman,1851456,Juniperus
Coleotechnites chilcotti Freeman,,Pinus palustris
Coleotechnites citriella Chambers,1851446,Citrus; Citrus sinensis
Coleotechnites colubrinae Busck,1851437,Colubrina texensis
Coleotechnites condignella Busck,1851429,Pinus; Pinus ponderosa
Coleotechnites coniferella Kearfott,1851412,Pinus; Pinus banksiana
Coleotechnites ducharmei Freeman,1851449,Picea; Picea glauca; Picea mariana; Picea rubens
Coleotechnites edulicola Hodges & Stevens,1851440,Pinus edulis
Coleotechnites eryngiella Bottimer,1851415,Eryngium aquaticum
Coleotechnites florae Freeman,1851453,Pinus contorta; Pinus engelmannii; Pinus resinosa
Coleotechnites gallicola Busck,1851444,Salix; Salix lasiolepis
Coleotechnites gibsonella Kearfott,1851435,Juniperus; Juniperus communis
Coleotechnites granti Freeman,1851419,Abies; Abies grandis
Coleotechnites huntella Keifer,1851408,Rhododendron; Rhododendron occidentale
Coleotechnites juniperella Kearfott,1851447,Juniperus; Juniperus communis
Coleotechnites laricis Freeman,1851422,Larix; Larix laricina
Coleotechnites lewisi Freeman,1851413,Pinus flexilis
Coleotechnites mackiei Keifer,1851461,Arctostaphylos; Arctostaphylos glauca
Coleotechnites macleodi Freeman,1851450,Tsuga canadensis
Coleotechnites martini Freeman,1851441,Picea; Picea abies; Picea glauca
Coleotechnites milleri Busck,1851432,Pinus contorta; Pinus contorta murrayana; Pinus jeffreyi
Coleotechnites moreonella Heinrich,1851416,Pinus ponderosa
Coleotechnites nigritus Hodges,1851464,Hypericum; Hypericum suffruticosum
Coleotechnites obliquistrigella Chambers,,Abies; Juniperus virginiana
Coleotechnites occidentis Freeman,1851427,Juniperus scopulorum; Juniperus virginiana
Coleotechnites piceaella Kearfott,1851409,Abies; Picea; Picea abies; Picea glauca; Picea mariana; Picea pungens; Picea rubens
Coleotechnites pinella Busck,1851438,Pinus ponderosa
Coleotechnites ponderosae Hodges & Stevens,1851414,Pinus; Pinus ponderosa
Coleotechnites quercivorella Chambers,1851451,Quercus; Quercus coccinea/rubra
Coleotechnites resinosae Freeman,11813517,Pinus; Pinus banksiana; Pinus resinosa
Coleotechnites sp.,,Photinia arbutifolia; Prunus ilicifolia
Coleotechnites stanfordia Keifer,1851425,Cupressus macrocarpa
Coleotechnites starki Freeman,1851417,Pinus contorta
Coleotechnites thujaella Kearfott,1851407,Thuja; Thuja occidentalis
Coleotechnites vagatioella Chambers,1851445,Liquidambar; Liquidambar styraciflua
Coleotechnites variella Chambers,1851458,Taxodium; Taxodium distichum
Compsolechia crescentifasciella Chambers,1851982,Krameria; Krameria lanceolata
Compsolechia mangelivora Walsingham,1852042,Rhizophora mangle
Compsolechia seductella Walker,1851942,Clidemia hirta
Compsolechia sp.,,Qualea grandiflora
Compsolechia sp. 1,,Qualea grandiflora; Qualea multiflora; Qualea parviflora
Compsolechia sp. 4,,Miconia pholiana
Cosmardia moritzella Hubner,1848657,Silene dioica
Crasimorpha infuscata Hodges,1851467,Schinus terebinthifolius
Cymotricha melissia Walsingham,,Ipomoea batatas
Dactylethrella candida Stainton,1850208,Indigofera; Tephrosia purpurea
Dactylethrella tegulifera Meyrick,,Quercus; Quercus acutissima; Quercus salicina; Quercus serrata; Quercus variabilis
Deltophora fuscomaculata Park,1849463,Securinega suffruticosa
Deltophora peltosema Lower,1849472,Flueggea virosa
Dendrophilia caraganella Ponomarenko,12040540,Caragana ussuriensis
Dendrophilia leguminella Ponomarenko,11981975,Lespedeza bicolor
Dendrophilia mediofasciana Park,,Lespedeza bicolor
Dendrophilia neotaphronoma Ponomarenko,10893208,Lespedeza bicolor
Dendrophilia unicolorella Ponomarenko,11940789,Lespedeza bicolor
Dichomeris,,Anacardium occidentale; Coffea; Dalbergia sissoides; Duabanga moluccana; Indigofera spicata; Ribes; Rubia; Tephrosia candida; Terminalia ivorensis
